,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.023818694220159833,0.21496676697883707,0.03800007542006029,0.19604698104739673,0.01285738797873632,0.15679566994454822
ATS,-0.16243248838650665,0.13606796242115593,0.13169782814631906,-0.08961238536443501,-0.2051294031348744,-0.08488067326058583
Number of Traces,0.08067894980684669,0.09576772288624905,0.04305546694830209,0.15744302091352613,0.07157297338057947,0.07907579266630393
Distinct Events,-0.2100707257243993,-0.11895159143545125,0.07110643204960412,-0.3105182643299699,-0.23673374092072424,-0.21463597105300175
Distinct Traces,0.05909892706554377,0.23611903216617292,0.02671446990309503,0.15860220975035855,0.059505601890048485,0.027596945776091765
Distinct Start Events,0.04650449115808997,-0.09573708298205096,-0.08492841943146603,0.04613954243232962,0.11735313950785746,0.05933470417611265
Distinct End Events,-0.06157323400180509,-0.35352165342625774,-0.18543317271534457,-0.28310771925689704,0.009205696708282318,-0.11704506576405209
Average Trace Length,-0.21616406804854452,0.09891193922591145,-0.005000240964036592,-0.10285259324841392,-0.2237923331153361,0.06560850363963312
Max Trace Length,-0.21351667053975873,0.07186980786100507,-0.017465780049816974,-0.16490267051237043,-0.21814745270944141,-0.021284342563741343
Min Trace Length,-0.10041327158613331,0.06910746029720191,0.023635167010471143,0.004524883317953471,-0.11236697674968053,0.09411588699471996
Event Density,0.32940717689892046,0.005841678011278528,0.19309935741676668,0.2250884851277902,0.2912835802886931,-0.18109353611595524
Absolute Trace Coverage,0.05411770239868123,0.2706435303284452,0.03578543648906237,0.169268801514755,0.05503355833290631,0.022795511581280136
Relative Trace Coverage,-0.22762104967973726,-0.1615092570288533,-0.048769047880776004,-0.310183046551267,-0.2254800853457926,-0.0928328875816072
Structure,-0.06722766357130575,-0.10704337086107009,0.14511574984544254,-0.1671325323546638,-0.1550966569488913,-0.15123267191604026
Level of Detail,-0.16243248838650665,0.13606796242115593,0.13169782814631906,-0.08961238536443501,-0.2051294031348744,-0.08488067326058583
Traces with Self-loops,-0.04837889641738169,0.13685717732078284,0.00502338620679048,0.10292608442499604,-0.04918349158819208,0.1561678840568934
Total Self-loops,-0.12599495895787388,0.20035136248919563,-0.04558761615657543,0.08424932468013248,-0.1282090977975242,0.23763103219493692
Average Self-loop Size,-0.3187168084962404,-0.029345466039772426,-0.1546398551139774,-0.29981984851725507,-0.3185416994357998,0.06705220825968213
Event Diversity,-0.07499778109285234,-0.1422920029665821,-0.008922346686231264,-0.1334219933942861,-0.07965277295572208,-0.030242075963034822
Event Repeatability,-0.018075875406886214,0.10128184929244112,0.00887992100251051,0.04411866741159233,-0.01585826155684895,0.028072889950120496
Transition Consistency,0.030319285403795502,0.1545252580084202,0.02983743064097922,0.09446543890672933,0.023104224153140444,0.011662522259388818
Sequential Complexity,-0.28612546485228085,0.17114957939268916,-0.01624071558773386,-0.1533348145442848,-0.2975826308044245,0.043575320066330754
Rare Sequence Impact,-0.22068956296391093,0.06630172044988915,-0.018177449329910535,-0.16392811670174842,-0.22620719674474646,-0.004844191993779812
Event Class Dispersion,0.03961472871142353,0.14745919240627914,0.005498527258253305,0.10294233996585976,0.04320756347360945,0.02621690573966277
Event Co-occurrence Consistency,-0.09973032525786078,-0.2651560771640311,-0.04927135454075812,-0.15755073446653717,-0.10030660922015935,0.06691696302991222
Trace Variability,-0.24717535985992958,0.10870773477720853,-0.024497855678991494,-0.14625396497140708,-0.25234950771188275,0.04078453273741503
