,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.1584515456487656,0.3048496114495356,0.04007198830588174,0.19948664005701627,-0.15287374081474894,0.35935987338102104
ATS,-0.2383475166512966,-0.1930050581038775,0.12031090782803584,-0.48733384227092136,-0.35453659871948984,-0.16136314183262665
Number of Traces,0.025683669529681336,0.192707651998153,0.10756195010018875,0.25209268701773774,0.01407554727159725,0.2049619413333724
Distinct Events,-0.22108666710761746,-0.2762152226534174,0.19284739424058833,-0.5185757797281632,-0.34337407791206515,-0.21000437085289025
Distinct Traces,0.3575412199323947,-0.33903246865254755,-0.015511798569604999,-0.04542004710304695,0.3932047872199629,-0.5059580786902561
Distinct Start Events,0.29114499685297485,-0.501286424991411,0.24527113984675572,-0.14927983946122056,0.23372267185727935,-0.41154673541967657
Distinct End Events,0.44719711546899477,-0.25404991042662517,0.08831797674227963,0.17890979908259957,0.486672071646851,-0.3995330982625092
Average Trace Length,-0.5944186723510774,0.06023013164238851,-0.26060866578030845,-0.601723675414511,-0.6466472752280245,0.1856374556393942
Max Trace Length,-0.49574692531826475,-0.05848254202516182,-0.11201748727481427,-0.618861730795365,-0.5738968862411871,0.028267861516728016
Min Trace Length,-0.6646044855824187,0.21468753084175488,-0.37354170459291963,-0.5155940522761681,-0.6912846264807655,0.3645287123595752
Event Density,0.6127888114332971,-0.15506986472942555,0.3404069762708822,0.46405579382705975,0.5954390389794327,-0.3175780029947325
Absolute Trace Coverage,0.34954991407684527,-0.32843916048443644,-0.01711625043713768,-0.04531966022219509,0.3838414947442857,-0.49711699543090637
Relative Trace Coverage,0.015926146453005417,-0.4418922886038773,-0.04466769059277178,-0.4952426342288458,-0.05572913906810687,-0.39644979523112345
Structure,-0.2350546015917962,0.2677762933301658,0.08134864552595727,0.01868491133662367,-0.2973026622942715,0.2916376775787029
Level of Detail,-0.2383475166512966,-0.1930050581038775,0.12031090782803584,-0.48733384227092136,-0.35453659871948984,-0.16136314183262665
Traces with Self-loops,-0.3341684934259557,0.28920469633523066,-0.14555127780592228,0.04163044133635285,-0.2518884402427388,0.3817343752794686
Total Self-loops,-0.5750378637386214,0.4623477964114338,-0.2590919138075775,-0.03780081867243456,-0.5054821761219501,0.6218970549069188
Average Self-loop Size,-0.49658388888323507,0.04222529506331417,-0.32714816874939434,-0.46581496037879827,-0.4793470785121834,0.19242688870208952
Event Diversity,-0.048934082190102215,-0.11477479777511256,-0.09449294078096244,-0.18929960070817442,-0.03300822976389971,-0.13110715911715679
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.050197172205127795,0.11131343120007046,0.08931265026506258,0.19362374953689543,0.03786552190868262,0.13731832081600073
Sequential Complexity,-0.3815927290738035,-0.16208382344448563,-0.15096836177334022,-0.5618079563790477,-0.4379017260778842,0.008020862158273433
Rare Sequence Impact,-0.507225419296383,0.054887430503188096,-0.30131350086840564,-0.5280660405651715,-0.5397415386638509,0.15596127858100334
Event Class Dispersion,0.04633476366611154,0.10051521886923312,0.07816689801973022,0.17957861735842476,0.036631404983180606,0.13038517171759859
Event Co-occurrence Consistency,-0.22140245421764687,-0.22473079879135435,-0.21156488048141572,-0.40119407379298105,-0.26489339932824546,0.09496398282421127
Trace Variability,-0.5050721132823343,-0.008427168392056494,-0.19920560409279917,-0.5741696826220556,-0.5571932087464155,0.09314811908102053
