,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.2928850155024934,0.24485007775184853,0.0,0.486479718221688,0.3566856874754153,0.5161704597917913
ATS,-0.6303462155223009,-0.17382879303710216,0.0,-0.553191548242957,-0.5337868192452361,-0.5000043607197566
Number of Traces,0.3246934368682415,0.13292493546139628,0.0,0.4315134162948884,0.3902737715712243,0.42208483818554354
Distinct Events,-0.5606429625146346,-0.27474533498171894,0.0,-0.5673819665593813,-0.4749207297828887,-0.5397376779354588
Distinct Traces,-0.44236450960471985,0.3779212303752051,0.0,-0.20349110492557945,-0.4145482680348403,-0.19392213663807145
Distinct Start Events,-0.18242723394507843,0.08343119945945837,0.0,-0.10139201593719621,-0.15688597212947697,-0.09177903062877689
Distinct End Events,0.13286824958608456,-0.03143744438234952,0.0,-0.026897259721568353,0.05967448339941759,-0.11047051369502285
Average Trace Length,-0.5825434670502798,-0.014721676634366559,0.0,-0.3641733935686312,-0.49536331441569625,-0.22087394799635
Max Trace Length,-0.6348759298015072,0.03453564653707742,0.0,-0.39756217644167363,-0.5342881589308973,-0.27900758823759625
Min Trace Length,-0.4459294095322213,-0.06239247007824247,0.0,-0.2764890285530657,-0.38669328768890754,-0.12464925016352099
Event Density,0.3857428180712163,-0.1828765378256401,0.0,0.0896471767323325,0.3325284216733152,-0.0796842915343976
Absolute Trace Coverage,-0.44632657224126576,0.3648646267572382,0.0,-0.20754685153088023,-0.4147444688800957,-0.19486981692914448
Relative Trace Coverage,-0.6552692171698531,-0.2992307160454388,0.0,-0.6182554884655108,-0.5852920929556714,-0.5091157085181087
Structure,0.2302388022687268,-0.4334638944932217,0.0,-0.018322024435645064,0.22918636406529455,-0.04850041723251697
Level of Detail,-0.6303462155223009,-0.17382879303710216,0.0,-0.553191548242957,-0.5337868192452361,-0.5000043607197566
Traces with Self-loops,0.189054685401082,0.15845934821524663,0.0,0.3032973325152896,0.1883673881135367,0.35801825695140577
Total Self-loops,0.11344367806051553,0.23717573888669585,0.0,0.30431811959939165,0.1015222598401513,0.41448602606897805
Average Self-loop Size,-0.5469394174409644,0.036007764835535076,0.0,-0.32977747196360874,-0.5048115948912737,-0.16393639781219882
Event Diversity,-0.2187122317194387,-0.07182135751152667,0.0,-0.2976406732529349,-0.272860164584936,-0.29875697293166764
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.19573191614151614,0.061279344025716866,0.0,0.2735397792450524,0.24342578483713725,0.28596175392155965
Sequential Complexity,-0.676268398014367,-0.01391360489840356,0.0,-0.4828713671832465,-0.6321381245979789,-0.3250267510287136
Rare Sequence Impact,-0.44164761408961767,-0.028497727998938606,0.0,-0.27964696163639957,-0.3676675058874928,-0.1741547727216704
Event Class Dispersion,0.1774054546331493,0.057073327380721725,0.0,0.25305919380979824,0.22319559272588269,0.26666122106446494
Event Co-occurrence Consistency,-0.018880141291927503,-0.7003237789512036,0.0,-0.25971137064107513,-0.02183973917059931,-0.13116427997662256
Trace Variability,-0.6088992542471288,0.05517286776956369,0.0,-0.35549959600349806,-0.5160612617965851,-0.2193392784264382
