,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.09855691215499926,0.1673393395169167,0.028234207313255436,0.23746073424198663,0.04923141765111585,0.24499550624391422
ATS,0.002256396279673605,-0.03327880816832629,0.16743641667744408,-0.1691381588429139,-0.13681465645931248,-0.21452884786708729
Number of Traces,0.14347900592875454,0.014728086747375734,0.1023409199281745,0.18262709640299696,0.09688006254171107,0.09433027669942845
Distinct Events,0.039783067097848165,-0.27241323652930927,0.22488448900799754,-0.22901086464847173,-0.08326794487989139,-0.3384004118232972
Distinct Traces,0.20884641452280445,0.3602712902012287,-0.21564605517493782,0.17442469616145945,0.23520347680183806,0.02084117393708088
Distinct Start Events,0.35173724744723434,-0.12902698799055493,-0.3121663504581968,0.2506176299560048,0.48061015671476615,0.07717314476344153
Distinct End Events,0.03240944589455234,-0.24361836053893496,0.010892444289951545,-0.052971345686178097,0.0762572005334354,-0.10537250860516664
Average Trace Length,-0.1887545713182792,0.06139745364926873,-0.09243362832593095,-0.0915986498776227,-0.25229094203145946,0.2156326922412159
Max Trace Length,-0.16300635901366084,0.11467311847202835,-0.1762454588840298,-0.14724243677130686,-0.20778958785655532,0.1123346381378109
Min Trace Length,-0.21319101181025643,-0.013852156118136755,0.03880550620177548,-0.007623185968996772,-0.29168022134600935,0.33124506783899127
Event Density,0.22813286550494996,-0.17844153376332417,0.3959429717766264,0.0027645830846897146,0.18831133259194643,-0.46248419921220946
Absolute Trace Coverage,0.26539959791715173,0.48130983147306766,-0.35397872515119805,0.13568867240398896,0.30150680189615087,-0.06583327112968385
Relative Trace Coverage,0.13789811789269377,-0.1877595751093032,-0.0066259543262066145,-0.09284731367019648,0.03934179367684365,-0.13024807903086993
Structure,-0.2650506258499297,-0.43801593100371583,0.7854048921097716,-0.35657542389516905,-0.5663440111044276,-0.29287027822474443
Level of Detail,0.002256396279673605,-0.03327880816832629,0.16743641667744408,-0.1691381588429139,-0.13681465645931248,-0.21452884786708729
Traces with Self-loops,-0.02343066229419969,0.10683285322865689,0.07352423372947155,0.20484039346076,-0.04081288692707306,0.29306553065958435
Total Self-loops,-0.14317256285189248,0.1924492644121679,-0.012820950517428278,0.18987706450108235,-0.15798971900328776,0.4501814748526586
Average Self-loop Size,-0.4183120483347715,0.2809822561926432,-0.14207486431899632,-0.11325220001382287,-0.39507527915657337,0.3204075646267632
Event Diversity,-0.10875003003310765,0.03126196823897245,-0.07152453983785653,-0.09592215557082553,-0.07188452494981036,-0.02357262623469895
Event Repeatability,0.03388859276305408,-0.02572586762147884,0.04120613005976789,0.06951844202057368,0.004526769317188311,0.08591454726734486
Transition Consistency,0.09420236049112726,-0.037218739927164214,0.06510512133762031,0.07084185163359984,0.06546611941085213,-0.0023151704963916397
Sequential Complexity,-0.08558909049360774,0.20744612316555763,-0.18225169142336087,-0.024933866073034078,-0.12554100936677778,0.17971682347023207
Rare Sequence Impact,-0.19888107376880412,0.0332677654788039,-0.07785998677901695,-0.09979870686483623,-0.2323527314875947,0.17623613238876457
Event Class Dispersion,0.10421214538531108,-0.026717651535896426,0.06421216167830661,0.08230840264356139,0.07331965996002815,0.003437331239110338
Event Co-occurrence Consistency,-0.008034733238934316,-0.6453430755718131,0.1267524671492114,0.011373752958758353,-0.04453502103898995,0.20590926451408043
Trace Variability,-0.15792338394336394,0.11721576849477186,-0.17579524536510388,-0.09733334855882744,-0.20935496496649944,0.19424099493543817
