,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.6379867300739056,0.3791253797191035,-0.01563826610116663,-0.390472173597121,-0.6270040347536601,-0.09545222478903526
ATS,-0.6253258055600787,0.3714238158790928,0.0653555041391376,-0.38687963755735555,-0.6398376406356664,-0.12878323393888855
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.6631309747113986,-0.10047749722201249,-0.13007899574654996,-0.6392921098454021,-0.6505081326523543,-0.30059928131535124
Distinct Traces,-0.6727066866186111,0.049250571150657015,-0.4911128575760618,-0.6713331126615544,-0.5825693700437513,-0.23500842671272304
Distinct Start Events,0.06247148680142827,-0.2434948526648605,-0.5135241161096626,-0.09520111202971406,0.30840002020706314,-0.10909504382698273
Distinct End Events,-0.4354027972601183,-0.2719729886403437,-0.648088626675506,-0.6245325348075639,-0.27775050024243414,-0.2984416042715235
Average Trace Length,-0.6379867300739046,0.37912537971910354,-0.015638266101166445,-0.3904721735971208,-0.6270040347536594,-0.09545222478903514
Max Trace Length,-0.6148254787764059,0.2424060197272418,-0.10413647713484232,-0.43817572149725137,-0.6199487444134868,-0.08572664024891091
Min Trace Length,-0.338167439346923,0.43398939549339044,0.21882171449229662,-0.021209653290794942,-0.3374348113040994,0.07002918349769639
Event Density,0.6909412517982892,-0.257772782937468,0.3791508411305537,0.3870243238592475,0.5497574435458162,-0.12018974932747303
Absolute Trace Coverage,-0.6778363122293967,0.08072339654862333,-0.46835728560750095,-0.6511684872549909,-0.5910124181763264,-0.21290351821212006
Relative Trace Coverage,-0.6778363122293973,0.08072339654862383,-0.46835728560750106,-0.6511684872549901,-0.5910124181763277,-0.21290351821211975
Structure,-0.02162033823204962,-0.15281012426769133,0.5545049425963372,-0.02518656100782778,-0.22628927944653532,-0.11968976217996552
Level of Detail,-0.6253258055600787,0.3714238158790928,0.0653555041391376,-0.38687963755735555,-0.6398376406356664,-0.12878323393888855
Traces with Self-loops,-0.6365065995832427,0.3331670360221353,-0.12223376977996964,-0.28799508106853905,-0.5896065003529132,0.14834436080914523
Total Self-loops,-0.6267881726125165,0.3555401090239814,0.026315194457719432,-0.2674996619367358,-0.6204986712806839,0.11071815880208428
Average Self-loop Size,-0.5129233499535929,0.015938871421618126,-0.275022952814109,-0.4464852459810367,-0.4894725498785993,-0.06231234921909556
Event Diversity,0.08670026493726862,-0.11846250072381652,0.153669135997138,-0.1036758425743364,-0.11576011193733292,-0.12819471058505263
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,-0.02629049803886306,0.021895133787152275,-0.03296779737739234,-0.015524130703074984,0.02185670036877723,-0.040307155302229974
Sequential Complexity,-0.5839528241293901,0.26513730147936215,-0.14458444550680913,-0.42873189665187994,-0.6406424809960943,-0.020440851057932335
Rare Sequence Impact,-0.47302830026670123,0.2755648933175797,-0.01682969919261076,-0.32700088616315004,-0.47756626705078026,-0.12162590113601576
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.3553583708115754,-0.29196174373551564,-0.44967977618612176,-0.46498474166645487,-0.34425438448120455,-0.04646617696163533
Trace Variability,-0.539615238453225,0.2735756000046681,-0.03810985270757802,-0.36183742197488045,-0.5321468589741986,-0.10533542259042553
