,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.6008308404387478,0.4930250155537512,-0.15156663965150896,-0.1397221832693181,-0.3548347456648198,0.0500285333888416
ATS,-0.5811820778861725,0.4188573743735663,-0.07341097905537164,-0.25492139659962754,-0.3514775775628077,-0.15398628820660507
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.5766515649569701,-0.2309116842284169,0.06595891060041288,-0.654041318858468,-0.44273652766147675,-0.48587544028499285
Distinct Traces,-0.41515735865684317,0.5179401813668212,-0.5913456606107818,-0.14601337149694796,0.017661633510789553,-0.04436326936079973
Distinct Start Events,0.07927421471460933,-0.00942636399428617,-0.6342280086548532,-0.13922899904389016,0.604223944184269,-0.3862150247335028
Distinct End Events,-0.23937073559262304,-0.07601977864362777,-0.5023268854628138,-0.48287756352097494,0.16338812156756152,-0.5173351976879502
Average Trace Length,-0.6008308404387483,0.49302501555375133,-0.1515666396515085,-0.1397221832693181,-0.35483474566482004,0.05002853338884157
Max Trace Length,-0.5857143958457383,0.1997087489360661,0.11310913645585913,-0.28075000621327884,-0.5674126074326741,-0.005351598148240043
Min Trace Length,-0.1738854769091931,0.4262450239237887,0.01105265622440211,0.19196749584693268,-0.013318373515676022,0.11343427109297963
Event Density,0.40902343422033766,-0.426016717386337,0.3328249320739203,-0.12165235186941854,0.16897174952064206,-0.41630302285797427
Absolute Trace Coverage,-0.3859591936747012,0.5391226538115558,-0.5780885446500658,-0.11258184054167637,0.040605553181482776,-0.03594593553770128
Relative Trace Coverage,-0.3859591936747009,0.5391226538115558,-0.5780885446500653,-0.11258184054167619,0.040605553181482804,-0.03594593553770136
Structure,-0.06403671687794404,-0.5500192366946999,0.7072869114778494,-0.28190683622716517,-0.6469791948312638,-0.022227379818994263
Level of Detail,-0.5811820778861725,0.4188573743735663,-0.07341097905537164,-0.25492139659962754,-0.3514775775628077,-0.15398628820660507
Traces with Self-loops,-0.23458398981537246,0.4736250551860508,-0.36672875191244536,0.2636366804417175,-0.0009472689226607185,0.46162019855669656
Total Self-loops,-0.34077723870369925,0.43348747900703555,0.007921916533756254,0.2318597242787878,-0.3314750757653278,0.5071723494386707
Average Self-loop Size,-0.37029514779027206,-0.08640387242469108,0.005530453167479011,-0.17090052780397622,-0.42085382488508905,0.21274075774705184
Event Diversity,-0.1523622788044623,0.013140694324450888,0.04551014611914958,-0.07848186267752258,-0.1621026564400453,0.01090395449977771
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,-0.007540178266332898,0.032004495060514435,-0.008417758807201206,-0.004762680872089519,0.04881241293689323,-0.06646222809671377
Sequential Complexity,-0.6615091192242691,0.6302610579751547,-0.3172927604321004,-0.16959089449708561,-0.30225157359326,0.008113578182781538
Rare Sequence Impact,-0.5290226442780139,0.1348430492464503,0.1452763144950454,-0.2653684682222154,-0.5081355437645738,-0.038538911932903624
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.48866395584802974,-0.11382618933150768,0.1980623567974197,-0.41114483831300574,-0.5293133510431683,-0.16887005427702986
Trace Variability,-0.49960447594510016,0.3440540998822053,-0.06697593356593663,-0.16448556754403926,-0.3338732396369595,-0.005419132859151301
