,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.011870171724262454,0.21283179477419886,-0.046836183493783115,0.2055080763839935,0.009323121991755393,0.23875190006514396
ATS,-0.3041824276520802,-0.3048152433477368,0.10199823019341896,-0.28910031127176633,-0.26040666110417127,-0.08264457022990401
Number of Traces,0.1310175644668007,0.07842142598197865,0.07636177946790094,0.1708250707044819,0.07371027433166305,0.07625260427526886
Distinct Events,-0.3370352726946056,-0.34934437427864196,0.15896337118719486,-0.45543899006765753,-0.3227472464477664,-0.2705492364667508
Distinct Traces,0.10687452377074082,0.31460107519222863,-0.15379844467801815,0.2242976374575147,0.16379095638722235,0.13347749560484837
Distinct Start Events,0.20461031799723067,0.17658344968108514,-0.7505927652902743,0.4347334126619186,0.6567888604437041,0.3418895747190005
Distinct End Events,0.1582512219195991,0.09238146399550427,-0.21016710930236032,-0.06591871018920681,0.1668897188119613,-0.16173269995020328
Average Trace Length,-0.26905023889645374,-0.27042727982423165,-0.021059622930498154,-0.1454454353593752,-0.19698978102431214,0.12228497853152993
Max Trace Length,-0.37445023733722094,-0.06487405608218665,-0.22661860576574264,-0.28180471218646386,-0.24471116756525746,0.06141667044064537
Min Trace Length,-0.11994151409948807,-0.3006937931847172,0.03435866153494057,-0.04181620798206091,-0.07846255918252283,0.10545296354046182
Event Density,0.5009693511142802,-0.07121077667379834,0.40422816586696175,0.18443761642049064,0.32247743871465206,-0.36424264369271514
Absolute Trace Coverage,0.0812610104113252,0.41515127634581783,-0.2413719772803082,0.22710140953136754,0.18937489504723157,0.13690692556035583
Relative Trace Coverage,-0.32659766391489087,-0.27623413002265934,-0.018937185237073075,-0.26636645219676663,-0.202801219009544,-0.03972970910867078
Structure,-0.32279292267801113,-0.4667128985655454,0.750481769074591,-0.5729554622364273,-0.7067301923502423,-0.38232057930938584
Level of Detail,-0.3041824276520802,-0.3048152433477368,0.10199823019341896,-0.28910031127176633,-0.26040666110417127,-0.08264457022990401
Traces with Self-loops,-0.07216254623829371,0.110294743012517,0.06451017934158723,0.17962958872013857,-0.07623337945765482,0.2541416567156309
Total Self-loops,-0.23973748966210215,0.16410226228093783,-0.03379458161959462,0.10272660659304717,-0.22113739157471363,0.36020219131734826
Average Self-loop Size,-0.5160234208624258,0.19985736085637532,-0.15142161508457028,-0.2042569432651398,-0.4371041532300233,0.24395515269408324
Event Diversity,-0.48735190826785063,-0.3801696535214319,0.20677365297029351,-0.34736625364574764,-0.541827338811251,0.10233101060020366
Event Repeatability,-0.18986509398091672,0.12669871478547265,-0.4844115534641887,-0.16731555586142077,0.012483984000922297,0.05114095954951864
Transition Consistency,0.14068288919931068,0.25012315033816174,-0.04073494532074384,-0.1448214070625569,0.16926648195401062,-0.4465485233026579
Sequential Complexity,-0.584356012215163,-0.041584404351032785,-0.21453756156080617,-0.26487939735448074,-0.38581372560067184,0.2267621502453008
Rare Sequence Impact,-0.42065866328165796,0.006869809191244033,-0.2201855652456826,-0.27044415655924653,-0.282535433052098,0.09118909689824826
Event Class Dispersion,0.08901156500239112,0.43562102506447925,-0.4951050119950183,0.04081274331235435,0.23018621972621547,0.0027832329184424754
Event Co-occurrence Consistency,-0.11854614086406443,-0.5386228887712433,0.09847022415040377,-0.06608656902560389,-0.10009210451566394,0.12992048610860826
Trace Variability,-0.4846030059714756,0.0018366253842152583,-0.2147536905378848,-0.22097511184731136,-0.3478410686847466,0.231275413692375
