,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.06733474459405951,0.26731928442310726,0.15497420059711248,0.3053590755719265,0.021305958405032778,0.2852196339607932
ATS,-0.42241789643394445,-0.1251241146876316,-0.036636013071453574,-0.48422967601266975,-0.46419274047133835,-0.1309050496318616
Number of Traces,0.21103135453453153,0.12553389272786672,0.22642454173407844,0.34216644689232156,0.15169425545152962,0.18137967253856424
Distinct Events,-0.329924355327321,-0.28162769547714406,0.0037616204647533324,-0.5324515598435228,-0.3630133609925936,-0.313240228648338
Distinct Traces,-0.17687655018101098,0.46800146892773864,-0.4582128169874637,-0.2332974594928465,-0.15509249414646029,-0.06273112035571027
Distinct Start Events,0.0608666896345836,0.10660113534329158,-0.6921188107370568,-0.04390703604328886,0.20077768148235964,0.06954265640831579
Distinct End Events,0.28005779795139507,-0.0970940138680948,-0.22216039986645642,0.02930897455074501,0.41085186050709227,-0.3120866907254784
Average Trace Length,-0.5241976208245657,0.032594071944055225,-0.17175859189221054,-0.33077528840825765,-0.5085447687082428,0.21339762953596847
Max Trace Length,-0.40581196419946813,0.1258241165681678,-0.3575871852061512,-0.4745004638665828,-0.3856014221239194,-0.10300772727147155
Min Trace Length,-0.3451363697843272,-0.011749377162061382,0.046383285434357185,0.050843201218172346,-0.32633726749719866,0.48820957454016933
Event Density,0.4811862974617092,-0.15583689643558601,0.3140734541271076,0.18150701991580281,0.42699666693448324,-0.4025482604817341
Absolute Trace Coverage,-0.1846548184361764,0.4415404540406335,-0.43133726043192067,-0.22464615973390775,-0.1675390466644733,-0.03953065823918895
Relative Trace Coverage,-0.39329306847917544,-0.2489061684153262,-0.17594905738394817,-0.4258115008154811,-0.42406026731084984,0.04914451913860137
Structure,0.032616303815229376,-0.49662299129184956,0.7133509571660377,-0.030473823506625853,-0.10493625604305987,-0.19081158415560087
Level of Detail,-0.42241789643394445,-0.1251241146876316,-0.036636013071453574,-0.48422967601266975,-0.46419274047133835,-0.1309050496318616
Traces with Self-loops,-0.06255331473495722,0.1293427836603618,0.17016074268459697,0.18504314575357966,-0.08099978359772801,0.2590524974945606
Total Self-loops,-0.17268302285358178,0.18755336807491582,0.1577844898804502,0.21628686266022487,-0.16968306361263313,0.414495612612629
Average Self-loop Size,-0.6127196385678652,0.09162074934071025,-0.12355328621596284,-0.33838528833238163,-0.6554188168734624,0.3409661001665853
Event Diversity,-0.16205588098144344,-0.06346652390613919,-0.16104320947596404,-0.24116198258743585,-0.11802580945430945,-0.12145803691625835
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.14127905978998356,0.05304235172225525,0.14527052106217436,0.20780217626334468,0.10168796044074527,0.1010844709513859
Sequential Complexity,-0.5565600754147091,0.037764355122036616,-0.26763017130837813,-0.40259339748863276,-0.5394705878938614,0.1937302233196934
Rare Sequence Impact,-0.3753647306434858,0.08819024384655161,-0.25391405352419816,-0.3638004080757109,-0.3536047191923148,-0.012839047217891166
Event Class Dispersion,0.12666892234301877,0.0484225703877142,0.13055103661899786,0.18715410739293978,0.09040960691020523,0.09252819755364929
Event Co-occurrence Consistency,-0.1073988757258419,-0.6217108884347724,0.10780852281004477,-0.03867160683815747,-0.11422556363126647,0.24348797958402454
Trace Variability,-0.42409435691427666,0.12703040914893007,-0.3004380629141316,-0.2964837878717337,-0.3976688695395779,0.17342148980038413
