,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.1378356226128507,0.2563748213286946,0.08889892032176851,0.35654581282481645,0.09660469191396784,0.2698966158862298
ATS,-0.3188066646362253,-0.07475254038827911,0.06314056325029171,-0.3682122535583752,-0.31648319228918204,-0.19354427525325618
Number of Traces,0.2554585356050727,0.1121219418834658,0.17753751605599336,0.32300191185857396,0.1694971392176052,0.11486794206361409
Distinct Events,-0.25087321271196267,-0.2190383740655951,0.09789282895506654,-0.4373407868408178,-0.27066573020697754,-0.32997880751296926
Distinct Traces,0.08130346084414099,0.3859059931336229,-0.31609413628483046,0.11490937316945321,0.17810011151047792,0.051445381909757074
Distinct Start Events,0.28888085921541123,0.03828555664444998,-0.5847288685730702,0.2896404864385332,0.6124192808942971,0.10562609091918482
Distinct End Events,0.1741416959621929,-0.13041399801716422,-0.12818544345931138,-0.044118348808165876,0.1879325721296319,-0.15826521147649977
Average Trace Length,-0.48193208028033563,0.007742842207279252,-0.0833214030260623,-0.22896177439779136,-0.39428947181171525,0.19409551397152908
Max Trace Length,-0.35096293884655977,0.14231968652416468,-0.29836492157268635,-0.321331446567274,-0.2436765722228245,-0.022708889899136758
Min Trace Length,-0.32274319617555436,-0.10836532303664265,0.15046274804114784,0.06295205983420396,-0.27325447070745973,0.3611785434908915
Event Density,0.454907093481235,-0.1217674445374207,0.25809504574851116,0.08691568805464783,0.3089755223112527,-0.3944937775742122
Absolute Trace Coverage,0.016281614645268203,0.4492900898618304,-0.4267056944057832,0.04290116954806009,0.16380823896824984,0.01763509309059255
Relative Trace Coverage,-0.30792590973442735,-0.23904717003232465,-0.10967250674469778,-0.3109398063937937,-0.23084907400913798,-0.02541541561290871
Structure,-0.26504033234281066,-0.41174567938842316,0.7784847433082136,-0.3842146786105381,-0.6412251589009891,-0.224315275173782
Level of Detail,-0.3188066646362253,-0.07475254038827911,0.06314056325029171,-0.3682122535583752,-0.31648319228918204,-0.19354427525325618
Traces with Self-loops,-0.06535615955720969,0.1309019598153523,0.1285747119514181,0.21513571507759666,-0.07278983156933982,0.2777597712073527
Total Self-loops,-0.21314119106738472,0.1790039171596055,0.1309268064558352,0.21158334761477413,-0.21072683152876656,0.4234765032818157
Average Self-loop Size,-0.5872422985552198,0.24196163572006962,-0.10144868056245841,-0.22569883990521733,-0.4800859353962355,0.234577257291022
Event Diversity,-0.17953224841182983,-0.047979573527090064,-0.1287590516530293,-0.20381028103769955,-0.11558799508930442,-0.05763341311002972
Event Repeatability,0.08549233144033935,0.03746808847513907,0.037408716679966605,0.12431756385373204,0.056630567284989844,0.07963321879259917
Transition Consistency,0.16608079558895958,0.0421868946197843,0.12006257883094379,0.18543986162688014,0.10747036725391867,0.04798276206235167
Sequential Complexity,-0.4835083270693018,0.11218566165787087,-0.18696864339848832,-0.21247219400886225,-0.3393951274538322,0.1907249783591362
Rare Sequence Impact,-0.3666254258448577,0.03842890190279352,-0.19799419712432642,-0.2547724470206625,-0.2622758686975422,0.06532122177547975
Event Class Dispersion,0.15220849257256555,0.04024461634513958,0.11098692002915257,0.1753943400523761,0.09708721401636368,0.05277954848788967
Event Co-occurrence Consistency,-0.08882156110867602,-0.6608186321047071,0.13940931375558188,-0.05676638977001536,-0.11446339823091915,0.1874995045789568
Trace Variability,-0.3887257966154654,0.08283970349951654,-0.23080480137685983,-0.20699478619833672,-0.26957148539578846,0.15580105565108746
