,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.10977587822421432,0.21776545560200744,-0.19216303981232746,0.08460197190746234,-0.015489033231810962,0.20074300606133258
ATS,-0.2553916803694286,0.03737284932289588,0.3608661870236754,-0.16621492021899845,-0.41820980583474876,-0.2068318905988858
Number of Traces,0.04651751529982678,0.045754675592455475,-0.07200801588981956,0.07474550500304286,0.10121782669446819,0.06407667032877479
Distinct Events,-0.21324529683825016,-0.0848775075181613,0.33211051629362187,-0.3020947022199172,-0.3510250982553092,-0.36106550269550025
Distinct Traces,0.11684288804916741,0.5572849735997807,0.18865295888507186,0.25510361359635625,-0.023492791849495414,0.015884442549827956
Distinct Start Events,-0.14177672689783946,0.10622802909667763,-0.09985373733689017,0.34092622632441,-0.13678016502385615,0.558989087938158
Distinct End Events,0.11800130934244707,-0.0789296220816119,-0.17973196795323185,-0.07081636437199827,0.1959566460986837,-0.05847096690134612
Average Trace Length,-0.5937666879421637,0.06158006029772188,-0.3218138864957216,-0.29207336326172667,-0.5405727309261058,0.25272545205939756
Max Trace Length,-0.582406712833467,0.12735666823687247,-0.22684855086129543,-0.24132357387296055,-0.5597857038521777,0.2342299667309758
Min Trace Length,-0.5580674708601884,-0.01037666086285173,-0.38299772782864355,-0.3223490102903614,-0.4790476943989847,0.24218009166915067
Event Density,0.6404707670040309,-0.12916072139648954,0.589254724292331,0.20369617150484803,0.48151222120608206,-0.5096544334868304
Absolute Trace Coverage,0.08908234780745317,0.5434791202533709,0.2284055397749773,0.2588842403636296,-0.07627742226096244,0.03007056708014801
Relative Trace Coverage,-0.18149510842288483,-0.19310422729322843,0.37038632031953655,-0.175286135257829,-0.42479904500261767,-0.15281721431925196
Structure,0.06123805082568797,-0.3853160481898681,0.2353636281713479,-0.47586845438264314,0.01200896360548106,-0.6612982861242421
Level of Detail,-0.2553916803694286,0.03737284932289588,0.3608661870236754,-0.16621492021899845,-0.41820980583474876,-0.2068318905988858
Traces with Self-loops,-0.10949732789286568,0.08626273695823804,-0.1262602690790583,0.0665834177564698,-0.04175149589273641,0.1840488292725271
Total Self-loops,-0.3386739783951728,0.20846448498297618,-0.4653783301505699,-0.08510687753267542,-0.1504919000428661,0.30409382190332185
Average Self-loop Size,-0.6520293132529718,0.27960410901263366,-0.4147153623715769,-0.41387420565518274,-0.6162062099887591,0.16487942057446087
Event Diversity,0.024428453132886215,0.018260930233470772,0.0935879728442863,0.0208225494439123,-0.007997674341906649,-0.04778954648177477
Event Repeatability,-0.024428453132884307,-0.018260930233470942,-0.09358797284428273,-0.020822549443913107,0.007997674341909301,0.04778954648176921
Transition Consistency,0.09544575207203555,-0.08897813653523004,0.005611585869072556,-0.0022579799189004894,0.14323778595045558,-0.08044065039363472
Sequential Complexity,-0.539623075156061,0.11559151383229468,-0.044296498676839435,-0.22422635526161042,-0.6170053617988117,0.15514787131710975
Rare Sequence Impact,-0.48742659854254067,0.013547515247810206,-0.35336929292891334,-0.25743408203795576,-0.4168810548532286,0.2480702746202361
Event Class Dispersion,0.1777321511015378,-0.09261188053655893,0.017544243586631113,0.08055160456246084,0.25707843769024946,-0.06655720579885051
Event Co-occurrence Consistency,-0.12073325192928101,-0.6666196417921275,-0.1802209204089031,-0.24559023773785876,-0.08682742487338678,0.09804835426859261
Trace Variability,-0.596039625878482,0.11312861440858117,-0.3071940407894554,-0.25103885790308206,-0.5540732874044733,0.2856121763803601
