,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.056221618723147446,0.20104804279488037,0.1430921811035368,0.2556142847735039,0.04167311400383988,0.2168592139643421
ATS,-0.5814367261324251,-0.10270715155769258,0.022355760669138806,-0.5237704517643376,-0.630188899019374,-0.09933308002137155
Number of Traces,0.1384892123080003,0.1267119802812108,0.13730732668541135,0.26092460635389303,0.12543547850674763,0.15726165856114582
Distinct Events,-0.49778466447428776,-0.19365055097185155,0.025560809919346835,-0.5925533524938085,-0.5328341576384695,-0.29154748048804985
Distinct Traces,-0.25471526640885533,0.44278943182997443,-0.10823357368814515,-0.105837069057918,-0.3505604214336722,0.14785256741216266
Distinct Start Events,-0.22054297417464178,0.09321099743017217,-0.2721131684015577,-0.00801840198474725,-0.24271647838290972,0.38110912678786923
Distinct End Events,0.2984317447423687,0.017378948471882347,-0.11509071963367988,0.20678920012479918,0.3996704909048631,-0.06565135151096005
Average Trace Length,-0.654533941409676,-0.08001249223200262,-0.4430540337579961,-0.4932394361316851,-0.6148913191062083,0.17965527849844476
Max Trace Length,-0.6516539670124961,0.00044538943096509665,-0.42098249129299875,-0.5083247181473757,-0.616435015713432,0.12004063327972443
Min Trace Length,-0.577190122381527,-0.17079393429088036,-0.3743213923840409,-0.4270728551079333,-0.5422370782696232,0.19352299979987747
Event Density,0.6424561039098061,-0.02875707428234051,0.6227891190654494,0.372485417661651,0.5667374343877984,-0.38110499162065425
Absolute Trace Coverage,-0.26760289249594255,0.4289866217964737,-0.09931630164054495,-0.10608416151105958,-0.3632135647562784,0.16121031736507474
Relative Trace Coverage,-0.6409198367156411,-0.24054723215193777,-0.15961293647790556,-0.5331691034595273,-0.7145093004271655,0.12406018759275307
Structure,0.2271028067195784,-0.41829299391542774,0.36483386499119097,-0.12835351003687046,0.2291196757790245,-0.5305997965659855
Level of Detail,-0.5814367261324251,-0.10270715155769258,0.022355760669138806,-0.5237704517643376,-0.630188899019374,-0.09933308002137155
Traces with Self-loops,-0.08827076510711294,0.11180622421825345,0.11461124878892391,0.11618147416246008,-0.07898804475156797,0.1755730272638088
Total Self-loops,-0.07235895208092866,0.09242201226054475,0.11915331485289594,0.1046114167260049,-0.06735922546845265,0.1476953128632588
Average Self-loop Size,-0.6992972657225938,-0.09001226036023131,-0.13472110956098324,-0.5644042917718045,-0.7866504911913613,0.0949404052669026
Event Diversity,-0.10062587673359917,-0.06400704785535123,-0.08944538542675282,-0.16740414097469256,-0.0885404954573488,-0.09649198969764367
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.11086984271328842,0.06944961188268087,0.09799360375276704,0.18186277851930954,0.0979933942475153,0.10236295684633769
Sequential Complexity,-0.6054460695777975,-0.05105768868871611,-0.2161645915279426,-0.49656814333194993,-0.6505215162319075,0.0812004729737007
Rare Sequence Impact,-0.5209254934305532,-0.0635432977874141,-0.5356005844957682,-0.38636431562606544,-0.4478216318785737,0.20608085714144742
Event Class Dispersion,0.10144267458272449,0.06437601246507198,0.09032558384904786,0.1688580333841393,0.08931767148223518,0.0973229650777586
Event Co-occurrence Consistency,-0.22898376693166195,-0.6857638710230776,-0.3786220792364262,-0.2778901772261328,-0.18068054484718382,0.18640506675210752
Trace Variability,-0.6493584823498245,-0.0023719647471662627,-0.44422616045089175,-0.47419988442460315,-0.6162423381113629,0.18759219635194613
