,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.5433005810782756,0.41033894150718964,0.17195736979112342,-0.32249123677413144,-0.5531649858219038,-0.22250134250367254
ATS,-0.5134229831714051,0.41566257144669144,0.2142331341314345,-0.36224029495726967,-0.5405020172738336,-0.3106082067854692
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.5844480459469553,-0.053976147608986516,-0.004211690317051527,-0.6282685088367224,-0.6105119070022867,-0.3911966396278043
Distinct Traces,-0.6099374041463818,0.038544819537001694,-0.23975582440474202,-0.6061049772943928,-0.7062871650294555,-0.17498953605586445
Distinct Start Events,-0.10928271441618383,-0.2770638945983014,-0.401496924477137,0.05703175601407702,-0.07648555317786054,0.42339032314847674
Distinct End Events,-0.5174908588397522,-0.3523747331763217,-0.5033006616101392,-0.4800113917528692,-0.5098336391044337,0.08899604931114484
Average Trace Length,-0.5433005810782752,0.4103389415071892,0.1719573697911232,-0.3224912367741319,-0.5531649858219032,-0.22250134250367273
Max Trace Length,-0.5624518497246075,0.2650698647789349,0.05873347436639504,-0.33454491404346315,-0.5686814510373103,-0.13107046641151598
Min Trace Length,-0.23574268993905606,0.48604598097843565,0.29029938765727203,-0.05295039980781215,-0.2632383488804831,-0.15368362228860896
Event Density,0.6700403367637892,-0.2619862984673877,0.13144835102385866,0.3216259577890904,0.6192963070037718,-0.034013479162912724
Absolute Trace Coverage,-0.6137486818000101,0.07000431602919055,-0.22335893238809762,-0.5886192547968631,-0.709385140512153,-0.16549250402742854
Relative Trace Coverage,-0.6137486818000091,0.07000431602919059,-0.22335893238809698,-0.5886192547968631,-0.7093851405121525,-0.16549250402742868
Structure,0.21314001328385146,-0.10387824926095132,0.5302436424393158,-0.22854922778380463,0.14382995421836528,-0.6966722601390467
Level of Detail,-0.5134229831714051,0.41566257144669144,0.2142331341314345,-0.36224029495726967,-0.5405020172738336,-0.3106082067854692
Traces with Self-loops,-0.5072132356694882,0.3314431083337184,0.050713803378457455,-0.38478454317284183,-0.5466562707451478,-0.22341864014051954
Total Self-loops,-0.5051925005970312,0.3555895169580142,0.1241454442181248,-0.33288898273150586,-0.5071204587365464,-0.2300459706519504
Average Self-loop Size,-0.40153808263577495,0.034216440599480286,-0.09550847295072512,-0.46456180355242516,-0.4937527290118707,-0.2206385605745514
Event Diversity,0.08291228308073484,-0.12570580192479994,0.15330771457765222,-0.09905228591581093,-0.1298841116528943,-0.10279303801806329
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,-0.0029621664045692744,0.005887667919060974,-0.02230335161933882,-0.05643678097535933,0.010938529186198826,-0.07170481054224787
Sequential Complexity,-0.5538733058627172,0.2713490637999393,0.012772402909352425,-0.3840576343669102,-0.681237337935148,-0.09136701682672921
Rare Sequence Impact,-0.41283124517282593,0.2997777619539238,0.1321188785799188,-0.21455041373512354,-0.4109231328676821,-0.13325443389866146
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.47845094576785985,-0.3156000398127758,-0.3702535219199844,-0.2990885352509962,-0.5033102806732732,0.24153348518213183
Trace Variability,-0.4596695556440318,0.3001092738046488,0.137255027089091,-0.29970368873613473,-0.4703852479046244,-0.20787755475142738
