,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.012061754747601024,0.19722042884575539,-0.08652800957100101,0.11538494193203346,0.06350387271961633,0.11310604795020583
ATS,-0.21269452363042085,-0.22519126147815177,0.22588614558105083,-0.16415974386256094,-0.3150897622415446,-0.12226378137830496
Number of Traces,0.09200505699808793,0.08409012675043967,-0.037965305180965775,0.0811801089832904,0.15996902600589302,0.0032502422944759766
Distinct Events,-0.18306729035290598,-0.22816066750984118,0.2907819231873825,-0.2675389489444198,-0.2958575300422781,-0.3115598912508128
Distinct Traces,0.03702015580075175,0.3452376229170432,0.07983329763162585,0.2339612394182278,-0.027014201901468693,0.12716468217177865
Distinct Start Events,-0.32737884772456616,0.08210546220747646,-0.29967571411013,0.16042094928442863,-0.1874632584730048,0.5394541382407425
Distinct End Events,0.12356859423741658,0.10005347757734082,-0.21717044761629542,-0.09359601071844918,0.25272231574893567,-0.1159335797953659
Average Trace Length,-0.25156938119772493,-0.2252739406008649,-0.0489642298633653,-0.1770204652942922,-0.2408758350598968,0.048659525708518045
Max Trace Length,-0.38346189292276195,-0.027795446134823574,0.015108775865111477,-0.14940522586665198,-0.4405712423544775,0.09579952115949292
Min Trace Length,-0.11144086665740595,-0.2653489851197268,0.0025968486841607867,-0.10741666021363425,-0.1092291953715539,0.016262935684449004
Event Density,0.5577140759217427,-0.005005016646875149,0.4581279116452961,0.2501574757629904,0.45016785164535017,-0.37375215910422155
Absolute Trace Coverage,-0.03304114055013393,0.4590372487943383,0.11711446883276935,0.2594233095708804,-0.14775298726534944,0.16896080191381355
Relative Trace Coverage,-0.31888124086591185,-0.26711535051039204,0.2365413581767512,-0.22712491514479533,-0.5748136124559058,-0.029961225192813225
Structure,0.20864645849167446,-0.4023821695898122,0.39597009464020017,-0.33121941611388717,0.0316581082707933,-0.6326365650592977
Level of Detail,-0.21269452363042085,-0.22519126147815177,0.22588614558105083,-0.16415974386256094,-0.3150897622415446,-0.12226378137830496
Traces with Self-loops,-0.013698697362831035,0.08709119141503271,-0.03085039711841186,0.11834857652124957,0.025759896463180814,0.1253233033931152
Total Self-loops,-0.2139701414622981,0.14703487257314132,-0.27065821370793686,-0.04930391747680843,-0.08564502209634522,0.1821401298604814
Average Self-loop Size,-0.526834250388707,0.2320693021498404,-0.32806220991496843,-0.31528993572428293,-0.47729875397419413,0.13699269178790416
Event Diversity,-0.23731708152387235,-0.38077986106115397,-0.07764654928325603,-0.3521489099240584,-0.20324666735597177,-0.11384175657998578
Event Repeatability,-0.323611068323345,0.09285147178697471,-0.00931290974358299,-0.026547115431121055,-0.3896508595226043,0.1953744345735071
Transition Consistency,0.03020411905997102,0.30256498406166954,0.3503746128222836,0.09815730354628407,-0.17013259185243554,-0.1609925314451048
Sequential Complexity,-0.6084477995817139,-0.03653656782986131,-0.07794063474787366,-0.2712533086928836,-0.7080739625336847,0.20124448903362363
Rare Sequence Impact,-0.47142275870998895,-0.012141577640671948,-0.1774498049766184,-0.24020550400064183,-0.4582795141630381,0.15769473389474548
Event Class Dispersion,-0.03684891186892488,0.4796014444305006,0.030263198804037023,0.22159026143873442,-0.12942569138082868,0.18003953723175817
Event Co-occurrence Consistency,-0.08983257389753943,-0.5834002309518073,-0.052213592676283054,-0.20490876088884966,-0.08163954356184018,0.021947365685637953
Trace Variability,-0.5046560602658807,-0.02640585127287474,-0.32304818431814436,-0.2632842972084777,-0.43262496032979275,0.24165622703034573
