,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.04533777097889678,0.2684340664467435,-0.03267954488390407,0.2432777977104563,-0.02089285025777476,0.26033909430376767
ATS,-0.40449459205155247,-0.14044976583914132,0.27041146584639586,-0.35279777080908276,-0.5438469237157512,-0.10100196783235255
Number of Traces,0.15134925677473424,0.11912868246883145,0.09445728408724727,0.282812062500924,0.14582982358530028,0.12010746365030656
Distinct Events,-0.26914850958896,-0.2856147989345684,0.3146871784979865,-0.4470983603121217,-0.40298430809072766,-0.3255810843523787
Distinct Traces,-0.19119881921976026,0.45259530331083386,0.1566211843655523,0.13036808813874362,-0.3502702742565577,0.2317534741096439
Distinct Start Events,-0.1366916315054776,0.10653935726894817,-0.016596112221795144,0.18190348534276515,-0.2138592479449078,0.3838577222919899
Distinct End Events,0.3782540684278331,-0.0710194809023333,0.09601450597155543,0.15650070908822505,0.4141214546657626,-0.21146630101167194
Average Trace Length,-0.6334411258053655,0.019381066659711527,-0.3147397887541809,-0.39986762055071556,-0.5924391180185935,0.23130127142702203
Max Trace Length,-0.45746076968826366,0.11615512370199468,-0.05316916040764327,-0.30689869259488944,-0.5061240121398403,0.06926890317317004
Min Trace Length,-0.47670755196309994,-0.02471300274544212,-0.52435559868694,-0.24294697850671523,-0.3663516797466064,0.3774254112680034
Event Density,0.7022424393177387,-0.14649318724621674,0.6284334577519964,0.32317990964603044,0.5481482657062785,-0.46058332211379777
Absolute Trace Coverage,-0.20781052571524208,0.42560829748829015,0.1689522952879179,0.12671956359630596,-0.36596329090544344,0.23973000161806127
Relative Trace Coverage,-0.42829928392598376,-0.2759377465631315,0.2750377660561671,-0.25602743951936074,-0.6153669166026784,0.10899800961581108
Structure,0.17730539334095669,-0.48240636526344943,0.21211792887457262,-0.31512171525435073,0.18967329499962793,-0.5536128702985124
Level of Detail,-0.40449459205155247,-0.14044976583914132,0.27041146584639586,-0.35279777080908276,-0.5438469237157512,-0.10100196783235255
Traces with Self-loops,-0.13776080017639872,0.13223429815647647,-0.07541960582546561,0.10214595554763227,-0.06699754933230181,0.19499224822240285
Total Self-loops,-0.27980018035463305,0.19313121361425714,-0.36607130951587036,-0.004407609375897074,-0.13383297027392696,0.3016956676148547
Average Self-loop Size,-0.6717160458514871,0.08339330500173968,-0.36162406043248596,-0.4412621609081631,-0.6879356849158338,0.27756301876347955
Event Diversity,-0.11551914515111256,-0.04939812116222751,-0.07426188357018419,-0.18239857010086125,-0.10517136066285132,-0.06633746654190956
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.13064470216365176,0.0545973694507297,0.08306216166786358,0.20495792898128382,0.1203547730346622,0.07317910787869414
Sequential Complexity,-0.6813796512614768,-0.01685434262297421,-0.14964262223073885,-0.37849136494607155,-0.7406147299210698,0.2833139174022342
Rare Sequence Impact,-0.4353718962952728,0.0801131758955108,-0.16509976603240673,-0.311561638198932,-0.4350649017263522,0.08697532780513098
Event Class Dispersion,0.11675864839464303,0.04980145898359467,0.07474277676464673,0.18431056812446825,0.10675831086313117,0.06684701907065342
Event Co-occurrence Consistency,-0.1354297981449272,-0.6383553900652854,-0.12573383497919657,-0.2104416917319372,-0.12424724702079928,0.1065154234765346
Trace Variability,-0.549948861136022,0.10660520979528426,-0.2647451760069006,-0.28369922035056794,-0.5238089157169873,0.2555848951193338
