,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.14748562036841115,0.33205772075424356,-0.1421872403304451,0.20791213274095954,-0.07600521606552967,0.33097479756255405
ATS,-0.36159944542533745,-0.08498968368231688,0.3169185423648376,-0.21910098696636793,-0.5237364102635524,-0.17914272068940518
Number of Traces,0.171683745529993,0.18016386616267843,0.060789180226485225,0.2889251827930744,0.20272190455711334,0.13781732076072786
Distinct Events,-0.2839557867606317,-0.18232286425597943,0.34344206569634317,-0.3301086452131543,-0.43928756570967264,-0.3643205017190288
Distinct Traces,0.016710959560557435,0.3872957795198527,0.07291019953290227,0.2824567329664201,-0.06210067764585505,0.22923237077887348
Distinct Start Events,-0.11636504208552496,0.17251324358586959,-0.09819627949039528,0.39791563865789153,-0.09067971584623699,0.5816812231608477
Distinct End Events,0.2736777521049813,-0.00683773657878202,-0.10563937805475372,-0.02744429948586607,0.32461121892874184,-0.1478199739997459
Average Trace Length,-0.6430372561151927,0.008012934422754019,-0.24087178929700342,-0.3408874385485364,-0.6191817995993336,0.14838043488046188
Max Trace Length,-0.47765455333975737,0.14874974589787834,-0.0023648301385118466,-0.1849386764191564,-0.5513904088894043,0.07342997348464951
Min Trace Length,-0.4554931550271876,-0.10949676025042986,-0.3543346352962241,-0.2411422820416249,-0.3689118475366421,0.23872618086791564
Event Density,0.6676449258389311,-0.13599400006213286,0.5209139561758013,0.28925750792890503,0.5394555274787696,-0.3527922028092045
Absolute Trace Coverage,-0.0954597062763655,0.45697966594392053,0.10082874141640968,0.2674762395627737,-0.2231030746496582,0.26939900833093705
Relative Trace Coverage,-0.3759472125434193,-0.2463969533148508,0.2459590251759548,-0.21541317672635146,-0.5777575966235979,-0.042956831129109335
Structure,0.0026184684513005222,-0.40987609093824035,0.24970750163948835,-0.49006309742073395,-0.07085866258537195,-0.6552561633655244
Level of Detail,-0.36159944542533745,-0.08498968368231688,0.3169185423648376,-0.21910098696636793,-0.5237364102635524,-0.17914272068940518
Traces with Self-loops,-0.09017815923150964,0.13982524483269163,-0.06591145419081533,0.1088538206919165,-0.0420388239018093,0.17671952140258024
Total Self-loops,-0.3091027872165418,0.19422434899340904,-0.39853389687846696,-0.06280376808629742,-0.13104355625988426,0.26943952536579263
Average Self-loop Size,-0.6043649796312076,0.22717328379342455,-0.44849535407739566,-0.3827339921628392,-0.5038232628947734,0.1338479703308624
Event Diversity,0.0,0.0,0.0,0.0,0.0,0.0
Event Repeatability,0.0731276083488913,0.040552627475683285,0.02497767114533804,0.10384118862830999,0.07594066368735711,0.05143511783291975
Transition Consistency,0.11573942050129969,0.023023488008000647,0.04549384974679199,0.07585812750009689,0.15165558080457275,-0.04154521307003864
Sequential Complexity,-0.666381322657786,0.020823152340545725,-0.09749774001438001,-0.24435977106953696,-0.7261911558461914,0.21630917093230648
Rare Sequence Impact,-0.5143455639346638,0.03678459924709628,-0.13075758876209276,-0.2617567127616449,-0.5264526651128285,0.09422875281291183
Event Class Dispersion,0.18963960122242318,0.040410437637995476,0.07343695794808568,0.14117065934568515,0.24782466207599083,-0.04658967919848585
Event Co-occurrence Consistency,-0.08901981321413896,-0.6795532242676597,-0.10625043923053903,-0.22735877271188965,-0.07774297809791174,0.027458887618730037
Trace Variability,-0.5473362446064636,0.08563925316400096,-0.1739765006343424,-0.1852056581370478,-0.5517442779174722,0.2262422558463755
