,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.05174398395232738,0.25996730416049474,0.2587302949462273,0.28539030937273,-0.011899434255969375,0.13836957633266128
ATS,-0.20495368430138183,0.1526197501817732,0.28687010477718905,-0.15158696653891376,-0.332714122002125,0.052850072833298956
Number of Traces,0.10696471648259712,0.07560523716088095,0.09036966707604545,0.178993288291184,0.08748521750950332,0.024721314068156433
Distinct Events,-0.16399575481049908,-0.047108235568645664,0.19809037635219603,-0.25198019434010666,-0.25547392172976263,-0.04690321337588015
Distinct Traces,0.3472415298494732,0.17006541657992805,0.03284415297685329,0.25003705665413345,0.30046435710641567,-0.31032380570381335
Distinct Start Events,0.2564443383195489,-0.308687782079832,0.26591029429928936,0.030044562463605845,0.16993088280312518,-0.19205300907134076
Distinct End Events,0.16857922021372562,-0.3380102040863363,-0.11318545514081668,-0.120845157256086,0.21626225133787608,-0.273887861447253
Average Trace Length,-0.38381668966313104,0.2729774328202903,0.5070256061189845,-0.07598526338850732,-0.5209324285265635,0.30672762063479375
Max Trace Length,-0.2875319860998535,0.24474124768070998,0.5455127824170465,-0.05594769139615395,-0.44732469760880506,0.19624580125712449
Min Trace Length,-0.4823758172299965,0.29142950269795637,0.4016684209803847,-0.10144828463516399,-0.5765179271640523,0.4258545767048051
Event Density,0.34049166519139834,-0.3239628809079395,-0.5674182439999946,-0.061919435568902476,0.47585604592342834,-0.38251272940964826
Absolute Trace Coverage,0.44956927832420435,0.17787426623985886,0.09623818735279252,0.286199907934865,0.35949969609722865,-0.4112240691618958
Relative Trace Coverage,-0.18164927833454964,-0.003979233501029109,0.10878264461638566,-0.2661601816834765,-0.27341629276636636,-0.014144200956385031
Structure,-0.5281812899733591,0.17467026248662157,-0.2330147321106867,-0.3014068492365257,-0.4523515893207723,0.3516894157334191
Level of Detail,-0.20495368430138183,0.1526197501817732,0.28687010477718905,-0.15158696653891376,-0.332714122002125,0.052850072833298956
Traces with Self-loops,-0.09352558693648653,0.31148651523864934,0.20296211102735764,0.1939859168701753,-0.1359221720237065,0.21016235447511664
Total Self-loops,-0.28131783988071457,0.4323277371314072,0.27817397417133616,0.21218298276339712,-0.32530222852574786,0.46032199480181124
Average Self-loop Size,-0.3199264776284008,0.367848798856722,0.14091071851237086,-0.0554143385904718,-0.3533828504832188,0.17949418417691193
Event Diversity,-0.06685969393965874,-0.01925289957262621,-0.046938383909680866,-0.10562424136149448,-0.057203680136725985,-0.030109786012273116
Event Repeatability,0.06483623329113697,-0.019022155001494838,0.07238406200572875,0.052027296623913644,0.04701834267514681,-0.030990788425470265
Transition Consistency,0.03707663402914842,0.025819492222106864,0.03984047859387341,0.08540895529625175,0.032542132050388806,0.04117924510484832
Sequential Complexity,-0.33726016120587626,0.36115703419355427,0.3488605145129575,-0.03496169189118884,-0.46376618314333506,0.2989124814516762
Rare Sequence Impact,-0.31001669392789877,0.16912108444445315,0.4330012871810808,-0.08492239466070285,-0.408866851341494,0.21042496324258164
Event Class Dispersion,0.05261510668326232,0.02539360432629548,0.03217687263184549,0.09664741571159584,0.04679882600074684,0.039030814656036014
Event Co-occurrence Consistency,-0.3826573885867021,-0.31863042196881813,-0.033544910574570576,-0.2886332465867372,-0.3478685703425883,0.4642841939660638
Trace Variability,-0.2911108135002527,0.24889998042582057,0.5386839279390379,-0.03331923592664826,-0.44610419269112883,0.23595887888447903
