,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.01791020203057185,0.3917737661130894,0.24841971967683724,0.3665948094417344,-0.03355987301831886,0.31860292704316834
ATS,-0.3044885016286051,-0.10818145932709386,0.08824801845163444,-0.4166702518873791,-0.3754920465506133,-0.1454746073814523
Number of Traces,0.10873061100618372,0.23358067185139078,0.15176297769474253,0.32783374588777403,0.07861252245705405,0.23628160185129232
Distinct Events,-0.27458681980135746,-0.16476251546316825,0.05977370261319802,-0.4122308404556924,-0.3348385818649106,-0.1430332578472714
Distinct Traces,0.25055354955209636,-0.042192912937383906,-0.11240952164894372,-0.1214579212455614,0.22911990196905882,-0.5321514792226133
Distinct Start Events,0.13775980832845905,-0.23203207404213,0.18769406361419003,-0.10459965883458508,0.05941547157065102,-0.22136963124979417
Distinct End Events,0.30862502286677285,-0.4704431504341485,-0.3864495085616893,-0.14953783801921766,0.43953123985513026,-0.4373037477345687
Average Trace Length,-0.47837786498862866,0.1680043152539423,0.33415164279686627,-0.2527872099826252,-0.5726588672303871,0.14754893267262
Max Trace Length,-0.39559770353584606,0.1316484821394468,0.39531221928575544,-0.2573270952676818,-0.5164191575015962,0.03861832582847184
Min Trace Length,-0.5223502861949066,0.22109861075770704,0.2540439986930228,-0.19327824773506436,-0.5841204680694628,0.28582879752038926
Event Density,0.40965139576090515,-0.3456144084071615,-0.44866256481503997,0.03828984877172114,0.5215049512228203,-0.2735620316325373
Absolute Trace Coverage,0.2331721982876731,-0.04387005656681899,-0.1152358447075313,-0.13575379195706475,0.21185190687326086,-0.5280778855296319
Relative Trace Coverage,-0.32580106399633985,-0.2874458216798883,-0.1631230353692734,-0.5779776399018274,-0.3385125547180481,-0.2379897845033834
Structure,-0.22578642322095804,0.052721553924338624,-0.11125825353478408,-0.005067294823466479,-0.18241313999819084,0.3192112609346215
Level of Detail,-0.3044885016286051,-0.10818145932709386,0.08824801845163444,-0.4166702518873791,-0.3754920465506133,-0.1454746073814523
Traces with Self-loops,-0.14623303474181248,0.31621503415351354,0.17048537314283052,0.13058680085123744,-0.17882740367464176,0.20514536431409924
Total Self-loops,-0.2901781399150172,0.5023634349142709,0.23668676917822526,0.21099867938795852,-0.32678285913665456,0.4247284112592682
Average Self-loop Size,-0.4499411149766997,0.2639733089661997,0.12703984102588053,-0.22869043251971755,-0.5168145090801667,0.13705248363546496
Event Diversity,-0.08344999136643393,-0.14137294220440205,-0.10162987442153242,-0.23018414999275633,-0.06283157376152643,-0.1744162202999407
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.07007712743037613,0.12462992335454726,0.09176651269448013,0.20127684920385067,0.05072472101181493,0.15722163862094404
Sequential Complexity,-0.4126116851226306,0.07357008927497916,0.11461678126595437,-0.3127938751134237,-0.47778367142506944,0.0688412419838344
Rare Sequence Impact,-0.40522425523059663,0.11630694253758797,0.3171159979385499,-0.20780193797731145,-0.4740213923251728,0.12107980291322082
Event Class Dispersion,0.06613843415463455,0.1130887704524607,0.08153825214815304,0.18897643709961615,0.04950689933408587,0.15025496847921646
Event Co-occurrence Consistency,-0.4582494653803704,-0.35275506949343444,-0.11636927079160114,-0.3421516363727971,-0.41600701872097295,0.38831631514623866
Trace Variability,-0.4029082049714602,0.15315417600991119,0.3726594101172077,-0.23270667610473356,-0.51491341016411,0.07968742690924105
