,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.03817139688386297,0.13312609189908178,-0.027818632243691056,0.007025127999971632,0.06917781147292974,-0.2616364556761187
ATS,0.052025778324206934,0.07870080440621437,-0.1083924620941108,0.012429440017160155,0.0929986595246977,-0.18449181020767758
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.08067181130724141,-0.22091922623911894,-0.2526362729433923,-0.19913743736735112,-0.03981368123894589,-0.17284341627436026
Distinct Traces,-0.24634321048943675,-0.4769505633694208,-0.13064858810570165,-0.5554461783630269,-0.2554297307117579,-0.7423123798856787
Distinct Start Events,-0.26184116786448713,-0.35370097899102565,-0.044825944697379744,-0.3541098356597537,-0.2776820275956889,-0.14207910934429233
Distinct End Events,-0.26876585105650347,-0.5858711965232766,-0.3230702918114678,-0.5086820463083057,-0.24450341518651356,-0.32493180823096063
Average Trace Length,0.038171396883863,0.13312609189908178,-0.02781863224369113,0.007025127999971749,0.06917781147292983,-0.26163645567611876
Max Trace Length,-0.02803528468651535,0.08567367816444327,-0.052088671486211074,-0.07015883069121011,-0.0015880571397713966,-0.27647579050990845
Min Trace Length,0.023161750067717365,0.280685408467636,0.08960648257823345,0.13314287735710414,0.052063137470364354,0.00043192148572431677
Event Density,0.2277800355743425,-0.13390020766839794,-0.08504469072244746,0.19896813450745704,0.17487799564036702,0.42729328223421387
Absolute Trace Coverage,-0.24816876726997292,-0.444766530920122,-0.13505484004166196,-0.5324981245899539,-0.24874866467869491,-0.7025929033066435
Relative Trace Coverage,-0.2481687672699724,-0.4447665309201217,-0.13505484004166202,-0.5324981245899534,-0.2487486646786946,-0.7025929033066421
Structure,0.2834971241763268,0.24025449554662312,0.010979459174454672,0.35668477115727537,0.2819375358371276,0.27247666817038163
Level of Detail,0.052025778324206934,0.07870080440621437,-0.1083924620941108,0.012429440017160155,0.0929986595246977,-0.18449181020767758
Traces with Self-loops,-0.08835488002243719,-0.010665039332699761,0.2643503785108957,-0.15142924154188375,-0.12732887794163877,-0.42985267458727583
Total Self-loops,0.04654888436696424,0.11163087956671315,0.13123102580332993,0.026950569041600914,0.04187603278943496,-0.24387645953311565
Average Self-loop Size,-0.0857406234964658,-0.3094294495879966,0.13079312013912645,-0.31617372949272876,-0.15370914633955687,-0.5592835719904786
Event Diversity,0.2360089821750801,-0.23035099866081524,0.511296509305253,-0.036056811053535746,-0.04967437287908163,-0.268736969987089
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,-0.02633308763148739,-0.029584753340057217,-0.03249913569977712,-0.0361845782157571,-0.01880464284040201,-0.02091198460217058
Sequential Complexity,-0.06000339903144534,-0.10327833472165181,0.1494021155423536,-0.20634777299889986,-0.14959656166868648,-0.37471267793791246
Rare Sequence Impact,0.044137287432608904,0.15488953304755645,-0.04030696165482771,0.019010480299136486,0.06583061887866551,-0.2164285492732995
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.1905070180103786,-0.20498264077956396,-0.1129684246410641,-0.31547503439556795,-0.21916409834831221,-0.23510117728891372
Trace Variability,0.03624675315707595,0.08073135875479118,-0.041385574821574705,0.0024964465343883233,0.06538936662643603,-0.20785583194323293
