,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.19707584042424384,0.2659434482944924,-0.142000146988538,-0.13889697264560757,-0.12941587962040746,-0.3307581033645005
ATS,-0.229474867477029,0.15916982524436482,-0.39198010128692995,-0.1979097438171732,-0.13128136047759703,-0.20159002111703608
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.16331589164716132,-0.29745264918973024,-0.4685644623910868,-0.23843675274760118,-0.09047762220642908,0.08396052573461192
Distinct Traces,-0.43645244239062436,0.016442328661910307,-0.2424330747586313,-0.4652108582383596,-0.35083998393336663,-0.631939280034428
Distinct Start Events,-0.33591316181616676,-0.541534381444031,-0.05278428536306988,-0.5067614754701001,-0.3226358530302957,-0.4695783704482356
Distinct End Events,-0.28769557654531625,-0.6309863846953887,-0.401896244532397,-0.5076006038700409,-0.23069236492866732,-0.31282378694560875
Average Trace Length,-0.1970758404242438,0.26594344829449273,-0.14200014698853813,-0.13889697264560738,-0.12941587962040746,-0.33075810336450046
Max Trace Length,0.004942514846514522,0.22609610329781718,-0.20928412722185571,0.044858255788253046,0.06108017464708717,-0.045018760457068825
Min Trace Length,-0.11276981084729314,0.3029908134228343,-0.04779306674174015,-0.013463091740179803,-0.07237864391044517,-0.11431589471924562
Event Density,0.1417107684950576,-0.24501401687818958,-0.48892211467159746,0.07884614639925785,0.18291047695323023,0.523159666637553
Absolute Trace Coverage,-0.4333515425348875,0.04228041184265074,-0.24027091394559716,-0.44834992122551376,-0.34597300296038086,-0.6064098438103214
Relative Trace Coverage,-0.4333515425348873,0.04228041184265056,-0.2402709139455972,-0.4483499212255139,-0.3459730029603808,-0.6064098438103214
Structure,0.3706406364063159,0.1250142166533378,-0.22635331480072815,0.40972461105375235,0.3751756389049508,0.6363673571665379
Level of Detail,-0.229474867477029,0.15916982524436482,-0.39198010128692995,-0.1979097438171732,-0.13128136047759703,-0.20159002111703608
Traces with Self-loops,-0.19803487177515033,0.18870093447034106,0.49376012058975527,-0.14943750110934154,-0.24057280636067918,-0.5811901864002602
Total Self-loops,-0.0010896749629902508,0.4438465303726315,0.22714325129990182,0.12309093617770869,0.00037317799353768646,-0.20421509150587736
Average Self-loop Size,0.12531751528859875,0.03216874459465694,0.2743800584357565,0.08550870489111989,0.05605386899104189,-0.13261529411935055
Event Diversity,-0.011156693559059018,0.11049308764820646,-0.13997202675573,0.020661824887119155,0.024234433906548388,0.029684462233564524
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,1.683377611980279e-05,-0.06049591755493255,-0.012461481878674215,-0.015145819501053443,0.005379637302571412,-0.0018827027866156266
Sequential Complexity,-0.3862053857854757,0.27656763338209894,-0.2507900059973042,-0.2867536146977385,-0.3022770183221617,-0.3049072943329109
Rare Sequence Impact,0.08215034038553369,0.17898416836983116,-0.14513388012822423,0.10825565975934662,0.12952830072492738,-0.007665051892369137
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,0.02234481199938291,-0.008926327533142259,-0.2755272476211136,0.020664916038207616,0.05299574280181958,0.21004856495754176
Trace Variability,-0.1377708449132836,0.19245326280762518,-0.15291891069472502,-0.09678809446683968,-0.09267533213787243,-0.1748277754281413
