,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.029549620930763694,0.28406130502899635,0.2767582619687399,0.23205153954810182,-0.0190540856524576,0.08200761465955395
ATS,-0.3976525996116118,0.09422917846164539,0.16873401693182838,-0.2197805045440316,-0.3794792149279745,0.21211767528313458
Number of Traces,0.09489176196413131,0.12441242674762447,0.08192715174243269,0.17126682488088182,0.08477985795537729,-0.005441685967319266
Distinct Events,-0.4085000415831574,0.07675892572764331,0.09810173483979699,-0.31509564242805804,-0.4168974815250191,0.16129187473614617
Distinct Traces,0.23746688543286085,0.22782778046757662,0.04001767558550056,0.24123063435389303,0.21773141172266583,-0.23555705852430034
Distinct Start Events,0.3931721170703731,-0.26238380792456817,0.3362435499408762,0.2664559446147103,0.2956540388632092,-0.1159086647824681
Distinct End Events,0.22276065248249313,-0.38232321960613486,-0.3117075545940713,-0.12908827654251434,0.32142016278362845,-0.45640098229614257
Average Trace Length,-0.4063275330410442,0.007456433170364616,0.19916202127921767,-0.18714297231055246,-0.34556335451283576,0.2624105645666426
Max Trace Length,-0.2802266738120639,0.18211861256039466,0.41789770058189685,-0.08374861693713197,-0.3321045559436212,0.13366496784535156
Min Trace Length,-0.3102431284179038,-0.09175303293477136,0.0701350900836992,-0.15593459199197207,-0.21268226199919324,0.2014298594217398
Event Density,0.3694860223408208,-0.2126662452043329,-0.5717850940398774,0.06523074985341872,0.46636978655929656,-0.35225901903645906
Absolute Trace Coverage,0.3367622579100791,0.2683704115569149,0.03889477915162853,0.31634110651675773,0.30122985158063303,-0.30772201554418366
Relative Trace Coverage,-0.22270869809519403,0.06579960413471317,-0.02346721744523511,-0.24454910396111126,-0.25832626673622183,0.036379942201321486
Structure,-0.6147895746646042,0.17744932520428008,-0.24829535741130784,-0.4518108069781948,-0.5563004199391821,0.34789838401162443
Level of Detail,-0.3976525996116118,0.09422917846164539,0.16873401693182838,-0.2197805045440316,-0.3794792149279745,0.21211767528313458
Traces with Self-loops,-0.1256097632222539,0.29948107767356896,0.2305396281563742,0.12151375151374266,-0.15655747690911032,0.1863733320064831
Total Self-loops,-0.2893869028752788,0.3161297944253901,0.3084240037817141,0.04691780835121468,-0.32542994425791927,0.35274113115926703
Average Self-loop Size,-0.3647275841581599,0.2907863416440843,0.1944200749740314,-0.19377766345157324,-0.3913394218173199,0.09320460635063421
Event Diversity,-0.6726578669109824,0.2375139349257469,0.17853300925352614,-0.33775806219866655,-0.7038666383557113,0.581713381766329
Event Repeatability,0.054588470169047325,0.0659356466348799,0.39550352991608156,0.048953320274469345,-0.06099478155677565,-0.0946756731744519
Transition Consistency,0.38368718539948354,-0.056652431718410126,-0.24188381114048416,0.03822802909875622,0.3932976518258283,-0.62048859399082
Sequential Complexity,-0.4252019366960907,0.3212423655756954,0.41553633693347036,-0.14978174258880267,-0.5377031880498695,0.34752655592976994
Rare Sequence Impact,-0.30658333585949016,0.20898049120415413,0.4760190141992645,-0.11840301032043266,-0.4153988961509692,0.1887298664613496
Event Class Dispersion,0.513348747737551,0.0011146494825942674,0.07773044781907322,0.31503524001463146,0.47630387840577393,-0.5006902195494654
Event Co-occurrence Consistency,-0.3229694473758074,-0.21121060869575586,-0.04486207534762435,-0.1700837743970341,-0.20907365135797912,0.35681679381723863
Trace Variability,-0.36658897429311565,0.2415794735481021,0.4718870995950872,-0.11710762355501904,-0.46740970373929813,0.2867288199892764
