,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.07457030947948909,0.3665859695287082,0.3034167831794656,0.40421555797217346,-0.0015086773343641632,0.3089359494070025
ATS,-0.3172821278396948,0.11211277903439681,0.236630812409778,-0.31563952216429375,-0.42315320841330323,-0.1045874150568669
Number of Traces,0.12100422578753894,0.2111670900797604,0.1530441863059758,0.3471288298817111,0.08547615506729053,0.263345218861852
Distinct Events,-0.3346406781390625,0.010088610169407954,0.1491006280703463,-0.3829763286988425,-0.4141930325909527,-0.11367758847738305
Distinct Traces,0.34891252121856187,0.10663176137932626,0.03959571308487872,0.08351880354202867,0.2801591260440681,-0.4586819885033542
Distinct Start Events,0.27046495050520375,-0.15431820863030268,0.3093159218988118,0.08094704659706262,0.1590147156091072,-0.17208999250240198
Distinct End Events,0.31350464599901046,-0.5874086817511938,-0.4179045157968889,-0.2158792711385813,0.44832960536382543,-0.4783453763208795
Average Trace Length,-0.3914304577178593,0.2653058673366572,0.45561232284817343,-0.14199869652989527,-0.5132998943906522,0.14188911172486582
Max Trace Length,-0.12215706849021096,0.1811033877967757,0.4548465869538095,-0.08346919717570599,-0.27273178159944506,-0.10201978198530243
Min Trace Length,-0.39981522678436293,0.2622953303122086,0.3111868305725964,0.010981758316530199,-0.45153249035900994,0.4246267634319096
Event Density,0.35458438785999663,-0.3946735331535251,-0.5427321595378594,-0.06013779958822905,0.4838770052285233,-0.32765771665596005
Absolute Trace Coverage,0.3154661864013024,0.10166177517162298,0.029743722446861035,0.054268216109618746,0.2499593065581127,-0.45232554068531994
Relative Trace Coverage,-0.31412518033022463,-0.0458488645499053,-0.01807012447416221,-0.440308777660526,-0.35852037468472714,-0.18124424048584872
Structure,-0.4284165669566983,-0.0022154241797975142,-0.2402319377824861,-0.26482340061538573,-0.3473124429417591,0.24291578817531934
Level of Detail,-0.3172821278396948,0.11211277903439681,0.236630812409778,-0.31563952216429375,-0.42315320841330323,-0.1045874150568669
Traces with Self-loops,-0.10095404212357813,0.2800342460061218,0.1698488135619724,0.15191475044025948,-0.13618340037647017,0.20298548930324514
Total Self-loops,-0.2445910878911645,0.4283380867653099,0.23010930220888806,0.21563605629922425,-0.2791914646292265,0.4230674837322228
Average Self-loop Size,-0.39098972072860827,0.4122815738908265,0.2561679335092104,-0.07646435087534881,-0.47409818571734524,0.18972917790637658
Event Diversity,-0.08773263135463637,-0.14162983978266216,-0.10767716269808236,-0.2615479851086693,-0.06313969520172327,-0.22072042654594634
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.07256765208011524,0.12186288765932798,0.09327124096535049,0.21740609253419102,0.05079518479675886,0.18063805822305565
Sequential Complexity,-0.4034729068075688,0.30920009977795376,0.279522996082425,-0.1579841814456165,-0.508996997517924,0.16716808698098384
Rare Sequence Impact,-0.17943216654169955,0.1457033883816184,0.44405975699676536,-0.09387499725188893,-0.30552213756950974,-0.02564057643797455
Event Class Dispersion,0.06657642587682833,0.10849639187406392,0.08271065660420693,0.19911446708029695,0.04759791723812504,0.16785136668453465
Event Co-occurrence Consistency,-0.2975086865658014,-0.22388609784467764,-0.13640428020061038,-0.18389731233809362,-0.24219803722998384,0.3497146492194332
Trace Variability,-0.21650664580477175,0.2140547197994273,0.43467710432731993,-0.07801598914474052,-0.3413160733522887,0.016028494772341504
