,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.060676409395952105,0.40059999257528167,0.3288616179927703,0.420133894430171,-0.017975938327868663,0.2617664120346891
ATS,-0.2547496771983276,0.16734907337894495,0.2479093491972452,-0.19588515093735995,-0.3660769640719981,0.005530419231541163
Number of Traces,0.12136876619491649,0.22416565307825503,0.1481404017382804,0.33709670235788397,0.08770033771524609,0.17958002086390307
Distinct Events,-0.24497999965219378,0.01308007436008141,0.14792972911152072,-0.30440720334523164,-0.3238918998025699,-0.07719552756688665
Distinct Traces,0.31896404843355397,0.16836686396469053,-0.00014894318598179888,0.1572046811841771,0.2820121338448487,-0.3558905510211872
Distinct Start Events,0.3484586120514805,-0.2572888270381237,0.37718886842532556,0.12249213763164266,0.22729716398548866,-0.19206582568395533
Distinct End Events,0.2464111233688891,-0.4390141107145721,-0.20959526145242857,-0.17574496338271547,0.3222770215942053,-0.39772116282505376
Average Trace Length,-0.38878976221067113,0.28720191655575095,0.5051971878857048,-0.07124091197163437,-0.5230490201275236,0.25560535138787355
Max Trace Length,-0.09936534722466202,0.18141779790359908,0.4580121304415928,-0.03892317170457427,-0.24802526369767078,-0.05694152989011991
Min Trace Length,-0.43981292153726725,0.25269007313167047,0.346033260769808,0.004619447374691915,-0.5008975085162569,0.47821929993722356
Event Density,0.3157775085459344,-0.3240430800256818,-0.5730822170074895,-0.09564078921736552,0.44673524996224,-0.35141250706942545
Absolute Trace Coverage,0.39070572161511125,0.18200609377721716,0.04310175475520772,0.18521133385395797,0.3209742220135245,-0.4115543425641499
Relative Trace Coverage,-0.23130327142512902,0.01918234108472376,0.03532635207314459,-0.31279934460380376,-0.2945678245435139,-0.08202518755638184
Structure,-0.5330125927373845,0.16170080012794957,-0.24194765289277168,-0.2800152311952942,-0.45853035231669864,0.31541378490235117
Level of Detail,-0.2547496771983276,0.16734907337894495,0.2479093491972452,-0.19588515093735995,-0.3660769640719981,0.005530419231541163
Traces with Self-loops,-0.1242851260852802,0.32358621587158676,0.20372541695518218,0.185696752551978,-0.15890462119946902,0.2259809587373567
Total Self-loops,-0.3046319219178017,0.44239458650693914,0.2896194715668811,0.21810945028503514,-0.345381238775519,0.4647459671168572
Average Self-loop Size,-0.3406404315749648,0.3071175877749373,0.1307390877088763,-0.11241350003171068,-0.36153293817710874,0.10225180556041363
Event Diversity,-0.08242206523795526,-0.12953605637373952,-0.1028971498152355,-0.22812268012652967,-0.057934267082683955,-0.14098591311422273
Event Repeatability,0.009294921602708592,0.10008980876862694,-0.030018332354839288,0.03789161718619872,0.013305625510738509,-0.020579857755616656
Transition Consistency,0.06926401744576409,0.10929536711635805,0.08581932809336601,0.19476896005690367,0.048244847803538986,0.12484244761098391
Sequential Complexity,-0.34887541494503793,0.33031167089062186,0.2935879432936375,-0.06241566232369909,-0.4517188114777634,0.23590023820782988
Rare Sequence Impact,-0.22254143190490322,0.1692132306906875,0.48897742767268715,-0.06273963337198175,-0.3569909342748921,0.08481712140116224
Event Class Dispersion,0.06867719866097947,0.10843163244094287,0.085985605140409,0.1931130026560062,0.04813026885478722,0.12266453272573982
Event Co-occurrence Consistency,-0.2630914066778202,-0.2517493055673518,-0.11018443470440542,-0.141754206117028,-0.20914184873561312,0.390530569075493
Trace Variability,-0.2343159005211357,0.227148738995644,0.5018788864312043,-0.022953565443500072,-0.375260656182331,0.1332115570061671
