,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.18636413734737073,0.22744463387756686,-0.10393408344172123,0.006850329546410825,-0.1715615704749007,0.24411269909719652
ATS,-0.16922426813438685,-0.06863829749662129,0.3087214430198302,-0.27927420490139016,-0.32226775827098275,-0.0744046553902936
Number of Traces,0.002946596025904458,0.0856670532468058,0.035601309681699916,0.09283481412116446,0.0026702751784747985,0.04714309655758875
Distinct Events,-0.12820319790425408,-0.19210475583594946,0.3424387998947078,-0.3111621410223328,-0.2646407345208764,-0.1639330412914576
Distinct Traces,0.2614440121813592,-0.039117444930757986,0.06714953134974826,0.23123830390115513,0.29431351502900177,-0.20857452488272119
Distinct Start Events,0.26735420650433556,-0.33139226861581766,0.2722509743002399,0.09435374558146975,0.22070772105704065,-0.22157514074938048
Distinct End Events,0.18036952497685482,-0.15338476086850097,0.0845626801440044,0.07299511014741093,0.1940849018065082,-0.1978797689286018
Average Trace Length,-0.5205404621480239,0.15426948163003315,-0.2167933335076058,-0.5729147998091467,-0.6061690513693763,0.2587650262346661
Max Trace Length,-0.40501845885938864,0.047123527856312034,-0.061101613825298544,-0.5263773581830294,-0.5112546639142767,0.10399536879502277
Min Trace Length,-0.6087107219883232,0.2961755948375599,-0.38568693265493253,-0.5615594694654578,-0.6677441778306271,0.4295980242337774
Event Density,0.5897441969487129,-0.25648709252405927,0.48832906730266584,0.5449300369201706,0.5808231910078656,-0.4172956809494379
Absolute Trace Coverage,0.43567310623837685,-0.1985564229251503,0.19446449988566133,0.3077337777673897,0.4531317287796054,-0.36285050975917343
Relative Trace Coverage,0.1529056337985743,-0.34970357211194114,0.3156026996465161,-0.1552724243272499,0.03170685949056494,-0.3110635764441441
Structure,-0.44582571825232475,0.2663163069323884,-0.18678439922387827,-0.3393023651362143,-0.4730205971217974,0.27446580010279437
Level of Detail,-0.16922426813438685,-0.06863829749662129,0.3087214430198302,-0.27927420490139016,-0.32226775827098275,-0.0744046553902936
Traces with Self-loops,-0.3666985731594102,0.33661256417591784,-0.2627576179697043,-0.02836678824790278,-0.2630451279854818,0.41339876059521097
Total Self-loops,-0.6207079379768935,0.5205390340638697,-0.5581808564806824,-0.23604285727093385,-0.5369359289677843,0.7009947286183513
Average Self-loop Size,-0.5291136772886145,0.4415870820246778,-0.5571857587324638,-0.3618557027213524,-0.48044761819637993,0.43240787414401693
Event Diversity,-0.03525529209534558,-0.0284543705844543,-0.05171260709210971,-0.07304987096746453,-0.024406261625247908,-0.006272388312221949
Event Repeatability,-0.0034815921671356546,-0.020500202233611545,0.050221057277059604,-0.030563399224170458,-0.026486195683298516,-0.029244250038455835
Transition Consistency,0.036875602688841186,0.0286931717158665,0.04612491270712877,0.08061855501625656,0.029494346462629373,0.014643903955615122
Sequential Complexity,-0.33138839055733926,0.07458424976830896,-0.10097304083300275,-0.3597493185956004,-0.40308455237289337,0.19627036292337477
Rare Sequence Impact,-0.4280638725461726,0.09210579145862746,-0.20712217959689544,-0.5240982478091416,-0.4919260582468274,0.16403215489636525
Event Class Dispersion,0.03518767669322148,0.035073748155804454,0.04069233649638079,0.08241698650448316,0.030190839662664632,0.015537116931669748
Event Co-occurrence Consistency,-0.18273676750153378,-0.19129459410712846,-0.10215874066620458,-0.33473591646788375,-0.22370014643908745,0.12999373510440748
Trace Variability,-0.42427598551763385,0.08382356512303342,-0.14556346175917043,-0.5122953299843687,-0.5105975585873279,0.17310845082215168
