,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.272265940484575,0.3543359405547492,-0.19191651886892297,-0.11553252894752301,-0.12593734990882935,-0.20596868964162623
ATS,-0.16388018724807438,0.20225819845988624,-0.09004215616057713,-0.1467144397162045,-0.10007248009650892,-0.33111717905991883
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.02675741154460953,-0.3566049610681704,0.18002254407947715,-0.41132160248916305,-0.21116752744134473,-0.42670015884476875
Distinct Traces,-0.3939189395759157,0.158296765752017,-0.5815591346799099,-0.2107846808927907,0.13689632193743134,-0.2906979201529735
Distinct Start Events,-0.16122527128196953,-0.34314249587129997,-0.5586691028027667,-0.12460208348349004,0.4650888867482215,-0.26066509306282143
Distinct End Events,-0.05127655372493107,-0.5812325823595388,-0.2971742322592699,-0.3611565796389191,0.27635082867257027,-0.5363984677260559
Average Trace Length,-0.27226594048457503,0.35433594055474915,-0.1919165188689228,-0.115532528947523,-0.12593734990882924,-0.20596868964162635
Max Trace Length,-0.12300614137417125,0.2021785422424961,0.16162735731542208,-0.19237429704293915,-0.3347048616569654,-0.2099051349608413
Min Trace Length,-0.16929670454182252,0.39406311931279353,-0.1422242461623485,0.11582965322230089,-0.02084637392280548,0.05970280204120744
Event Density,0.5196071746505178,-0.47585522280750403,0.44849305303891424,0.10487874260861944,0.15218495618156477,-0.19900011719029512
Absolute Trace Coverage,-0.38337696920025577,0.1832288416779631,-0.5747567712201661,-0.17568105194072678,0.1474163696649408,-0.2632998896973846
Relative Trace Coverage,-0.383376969200256,0.18322884167796327,-0.5747567712201663,-0.1756810519407267,0.14741636966494076,-0.26329988969738427
Structure,0.3945079134385746,-0.165604194809765,0.8091605856137847,-0.05081524644338517,-0.4491653777112751,0.005787438722595938
Level of Detail,-0.16388018724807438,0.20225819845988624,-0.09004215616057713,-0.1467144397162045,-0.10007248009650892,-0.33111717905991883
Traces with Self-loops,-0.4593881567183214,0.4685140548518928,-0.5590503738730951,0.007998907705096389,0.02879356022134429,0.21491408335674406
Total Self-loops,-0.2634186957275293,0.5496656488857588,-0.13352663569616785,0.06427413059230767,-0.20920601468352118,0.21558697710710062
Average Self-loop Size,-0.18870291812973009,0.05735599271171411,-0.007242959362181178,-0.23645012935179552,-0.28195224561315285,0.04053532889740312
Event Diversity,-0.03698541794603479,-0.0023147258426122756,0.04488123643528359,-0.07910732489792587,-0.08009869733405987,-0.08622769697184393
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,-0.03704027434002818,-0.017241714378527413,-0.03460908050149225,-0.013907042252355376,0.012584509410921495,0.008691373248277503
Sequential Complexity,-0.3758384621730387,0.3402064341892011,-0.3434951065851189,-0.15121474210773805,-0.0860343412540481,-0.13879899672732485
Rare Sequence Impact,-0.1455892283081838,0.16144374316791021,0.1737172741177994,-0.21402527340759261,-0.3537052180018316,-0.17524841310612999
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.030887777822673764,-0.09978558195508426,0.31755686079924883,-0.2870171902177687,-0.37916406926186713,-0.17096593627119475
Trace Variability,-0.20066762839433258,0.2399574689148069,-0.08420986459930144,-0.13384217940597282,-0.1578283868974879,-0.17787259955119986
