,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.1515641769010968,0.1876637368140856,-0.0731622779228653,0.007575285789118597,-0.13434170447520286,0.1985455188657702
ATS,-0.2162467039967968,-0.1084635014773496,0.06491476732469346,-0.2925305382918683,-0.29085995904516654,0.051767261723563926
Number of Traces,0.019560310020168253,0.05056259450145762,0.041916606289489414,0.07541919353172602,0.021814059672659113,0.018799791148287132
Distinct Events,-0.23599333131224634,-0.15206310172768625,0.19021441148154478,-0.3733622115579027,-0.35046324235858123,-0.06929974525032603
Distinct Traces,0.15841940312646094,0.024382568703428753,0.013544466650810879,0.17034069850406203,0.21028480833078309,-0.13036365404889233
Distinct Start Events,0.45509062147561746,-0.36594529737651077,0.45741147462635057,0.3639260888961759,0.3877831444417048,-0.20741009378110772
Distinct End Events,0.17280196437539455,-0.07112518961250879,-0.02680124419940922,0.04939029890908488,0.2106268643829558,-0.24656541001265622
Average Trace Length,-0.29448960689619336,-0.03535641933931752,-0.20459661991048755,-0.3199477235430877,-0.30066547668010446,0.21723491821219817
Max Trace Length,-0.1732934038624878,-0.055985005638761715,0.04979072822082646,-0.26491484933811343,-0.23989783571464848,-0.029162809949329502
Min Trace Length,-0.16711833736742193,-0.11578133279844353,-0.16387740991874486,-0.2088994725409058,-0.14943647807937674,0.15579370962808153
Event Density,0.5314611457758214,-0.29646232990217264,0.41424932507861983,0.41481140469992694,0.5288467010849354,-0.4146168814320406
Absolute Trace Coverage,0.30501938835569714,-0.046669867564568666,0.13156889211471268,0.27161217884445865,0.33106576943192073,-0.23213549803894323
Relative Trace Coverage,0.17063356436756016,-0.33392120438524653,0.28605264535616576,-0.08887396678501569,0.06937679156411437,-0.30582958320591
Structure,-0.5195428827037468,0.19443905576677248,-0.296206650652398,-0.5082552176277102,-0.5364750954308097,0.22006527141994325
Level of Detail,-0.2162467039967968,-0.1084635014773496,0.06491476732469346,-0.2925305382918683,-0.29085995904516654,0.051767261723563926
Traces with Self-loops,-0.3568161318656766,0.3188293097136535,-0.2632451483810826,-0.059866836828087674,-0.25505277971138446,0.38473306878791536
Total Self-loops,-0.6000934859117972,0.489470269713199,-0.5340120318950354,-0.24802350423610067,-0.5150692310991516,0.6634349108426076
Average Self-loop Size,-0.5477062363040404,0.45057427865842326,-0.5522886269444718,-0.38278275362944914,-0.49916162300727546,0.4175559587425627
Event Diversity,-0.7024817068292113,0.25524696095296845,-0.40759971591636845,-0.5685028725494913,-0.7112072739336349,0.5154220093436802
Event Repeatability,0.19447279938530365,-0.13572380428313857,0.39535444001469333,0.05554050042182661,0.06874794042174429,-0.29926838824352714
Transition Consistency,0.6626194023795863,-0.28014947494700454,0.6367748585187001,0.3804410524176729,0.5548116740459756,-0.7664396366072375
Sequential Complexity,-0.3647021604447444,0.09286960705196745,-0.09780659112172983,-0.34529775896685116,-0.43855496500341096,0.2345055191908286
Rare Sequence Impact,-0.2966751810535223,0.06858679593006192,0.00039738680841842515,-0.3576523245089374,-0.39538314144402154,0.04712629847269115
Event Class Dispersion,0.5205924948346038,-0.18459662288734627,0.3938980176864133,0.3739196507489989,0.4866627755171206,-0.4858222354096961
Event Co-occurrence Consistency,-0.21565941878279948,-0.21354233100550946,-0.18809301738858217,-0.27677362785600984,-0.18903106988647056,0.21195945745117117
Trace Variability,-0.4590706121018393,0.21548058023708327,-0.2340929879134237,-0.40251278081772907,-0.5080550794673598,0.29086548000423446
