,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.09661765346319824,0.3057676667851616,0.07642655383314527,0.2646457159043012,-0.09993971751998398,0.32768830564089485
ATS,-0.18677546329194392,-0.0734359466190006,0.17631066898897144,-0.40048978755446835,-0.32009673812384715,-0.15509671575489137
Number of Traces,0.04778376698813515,0.22171895329777835,0.11301962902437782,0.33282061844054517,0.04068611527920418,0.22556729875628456
Distinct Events,-0.20865126652297353,-0.15391408256736544,0.23499692623311239,-0.45741141527400964,-0.34186812212535944,-0.18279328401680192
Distinct Traces,0.39237483658375116,-0.20181667275147655,0.11092622244614159,0.13602531923378505,0.39914529649876757,-0.4339566955726731
Distinct Start Events,0.35430340358015944,-0.43219899741004786,0.3503084019658955,0.03712877134001191,0.28778085126209985,-0.3544433538436591
Distinct End Events,0.41514753771315965,-0.2599673150573216,0.17215782134162966,0.19906443759771725,0.4318185987604218,-0.37541965846923947
Average Trace Length,-0.45542462153612934,0.11288984928154279,-0.15768305636883656,-0.5279470111609208,-0.5386903328004073,0.12069567333358418
Max Trace Length,-0.08766064517428762,-0.132672843378551,0.1606807714789273,-0.3505885034067443,-0.2001045637051793,-0.2337369622254765
Min Trace Length,-0.5372649247808865,0.21801511715846816,-0.30825166133812654,-0.38624323103436675,-0.5429933346113324,0.39891463324935716
Event Density,0.5335678428692742,-0.21817119779381436,0.28369481552569664,0.4360592312544277,0.5511730852380349,-0.30637328114982665
Absolute Trace Coverage,0.3717050828720745,-0.17845638131295005,0.10793193771936216,0.13526414304845025,0.3774358623481537,-0.4124058694760648
Relative Trace Coverage,0.024239242394194827,-0.23136840353953225,0.06230799778623864,-0.3249962503085732,-0.06630313970882,-0.2837726946834647
Structure,-0.336991345466561,0.2506529528830113,-0.08447219429630887,-0.15023843652307922,-0.36892629135905186,0.28231353279208526
Level of Detail,-0.18677546329194392,-0.0734359466190006,0.17631066898897144,-0.40048978755446835,-0.32009673812384715,-0.15509671575489137
Traces with Self-loops,-0.3044265228874858,0.2887246606773101,-0.1409231165143158,0.04995006850011044,-0.22457691580107553,0.36558012782047905
Total Self-loops,-0.5279020873285246,0.45717005796851606,-0.2894156263330262,-0.05593838101498184,-0.4644241972664011,0.5995485792483226
Average Self-loop Size,-0.4535003462636061,0.2420996448466161,-0.31823775750909394,-0.3544303198897765,-0.45517577485041927,0.2677194660273218
Event Diversity,-0.06152766789542825,-0.13959760120074677,-0.10201939716790934,-0.24902990676527526,-0.04534162066521149,-0.15119680437499963
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.05009732833601603,0.12086364761098646,0.08893391821042479,0.22038644049812714,0.03552959983339572,0.14644035161702953
Sequential Complexity,-0.3452749715949806,-0.006803506705807862,-0.10973201418209602,-0.4598695492661992,-0.41437008043365153,0.07587648616138397
Rare Sequence Impact,-0.20389187097480221,-0.07026289846600792,0.02943890139322383,-0.41247239957670784,-0.2960767555422966,-0.11654113098996763
Event Class Dispersion,0.04477409936162767,0.10731912383253389,0.07659485697667989,0.19969832282971406,0.033220652869663546,0.13576204117164142
Event Co-occurrence Consistency,-0.2449167530005806,-0.20858145381158838,-0.15152500189112392,-0.36225458777676456,-0.25862622910258654,0.16796832952443844
Trace Variability,-0.2503067865492709,0.014896405716630647,-0.04240038696616719,-0.37891720869474627,-0.3274291524199896,-0.020751098212888813
