,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.13772164990849517,0.33702067803609675,0.009086487678336336,0.19969025404034044,-0.12951364485998518,0.3275468744991286
ATS,-0.21407677173111114,-0.009926645113006942,0.21007069089407887,-0.3424809983428625,-0.3430952043004757,-0.08954478886692666
Number of Traces,0.0313643067299041,0.20151668371312362,0.0822118328020036,0.24657977103162215,0.026861857155581773,0.15832099265860153
Distinct Events,-0.2040606512639994,-0.12021244204689109,0.2486863768263905,-0.4112053194177519,-0.32749113183133566,-0.18089927124420419
Distinct Traces,0.31297637455856603,-0.03522641759189696,0.04373538760215959,0.2338059832003605,0.3355057554365612,-0.2548226440257529
Distinct Start Events,0.41244758615606963,-0.35544143709434056,0.43987927804867605,0.2655262221258174,0.3553884701097337,-0.2623976652914003
Distinct End Events,0.28670225124033294,-0.21933347546649476,0.08231431713403926,0.10102094505809797,0.3113819867725142,-0.31809010862693865
Average Trace Length,-0.5133009020993415,0.2114609791587311,-0.15214886188805735,-0.4872676892700516,-0.593351780272671,0.24011682982984103
Max Trace Length,-0.12242357706881726,0.013806293735298411,0.1587849329933507,-0.2561962666741649,-0.2266208797150434,-0.14843429297472907
Min Trace Length,-0.5225734356719688,0.22568702048269754,-0.2311166510537953,-0.3558454484926713,-0.5475224802726207,0.4391158553688915
Event Density,0.5347324660585085,-0.30696356509095124,0.2944309386713974,0.35511872280175405,0.5352174316257847,-0.3927181847815312
Absolute Trace Coverage,0.4338588241541081,-0.13663260683086012,0.15792123279130663,0.2991402779631287,0.4398114820018141,-0.3460681045351353
Relative Trace Coverage,0.0830956655360266,-0.26964791403672744,0.14196014195499584,-0.24625228434757945,-0.02272216850752674,-0.2811807391753706
Structure,-0.4938431037467879,0.22777133193780597,-0.2374061413400817,-0.44998673132797024,-0.537040362323933,0.2464851638565878
Level of Detail,-0.21407677173111114,-0.009926645113006942,0.21007069089407887,-0.3424809983428625,-0.3430952043004757,-0.08954478886692666
Traces with Self-loops,-0.36080420240657946,0.34506437312957056,-0.24507571995213803,0.008176057516358276,-0.25237054075077875,0.41558520690920125
Total Self-loops,-0.6011641923557232,0.522671871311969,-0.418038537621539,-0.12139128006896809,-0.5209074185171017,0.7014279585150311
Average Self-loop Size,-0.5208980586274696,0.3976844083508222,-0.4978964470528324,-0.3462983095285721,-0.46442036298511563,0.3432827267514697
Event Diversity,-0.05041133026263308,-0.11669934152841317,-0.09378969581963449,-0.1859768377225217,-0.03262606242380363,-0.10063339462291075
Event Repeatability,-0.01837924355262134,0.10142588424592872,-0.07350152795255761,0.013192789926882517,-0.00988702624367972,0.012055185738576269
Transition Consistency,0.048542087201403676,0.10872818885843098,0.0848064866683793,0.18022148411652372,0.03426842145047904,0.1007413398646621
Sequential Complexity,-0.33167007811941573,0.10103143682374652,-0.08338267323101947,-0.31963317628910426,-0.3885627407525413,0.17678221370885833
Rare Sequence Impact,-0.30382098418799325,0.06582017643489871,0.01742215309038876,-0.3929238602363961,-0.39743108695956614,0.011523141144212547
Event Class Dispersion,0.04595209628596279,0.10495477665508182,0.07928486013333429,0.17437021375122908,0.033571575370715694,0.09900593164640951
Event Co-occurrence Consistency,-0.21533699518759142,-0.2588517756540252,-0.1252695337027845,-0.3323740026097103,-0.2295481199840342,0.18117145399058046
Trace Variability,-0.319266973080622,0.10308601638081694,-0.05080468979015339,-0.3458986297522233,-0.38998935532862494,0.10372459761742298
