,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.13458353655375677,0.17222934623380293,0.0,0.2773830486802547,0.15659979213937728,0.2933289129050389
ATS,-0.7688641800758279,-0.05287726450798983,0.0,-0.6602017917627729,-0.6903918421327121,-0.5355343387203009
Number of Traces,0.21267795039470622,0.02407321514111798,0.0,0.18994937049114574,0.22833791565278996,0.10965735329323749
Distinct Events,-0.52413448292809,-0.2863098850782504,0.0,-0.5720668993045053,-0.4261258562712025,-0.5195977819581516
Distinct Traces,-0.03541078130158534,0.36113493939781804,0.0,0.08588289766356534,-0.04588917830236739,-0.00039693274876915845
Distinct Start Events,0.12547629411832642,-0.13303166506098552,0.0,0.09580563317413238,0.17637653925245328,0.07680050212180267
Distinct End Events,0.3496918265698336,-0.2398959005615838,0.0,0.1836367489604803,0.38391480187878335,0.07766301428750243
Average Trace Length,-0.691917433220603,0.030186166327308632,0.0,-0.4236485877279136,-0.6212239269869657,-0.15823840913711623
Max Trace Length,-0.7262869234285007,0.08878630962323049,0.0,-0.4533266744223817,-0.6474161872676369,-0.2307311376042142
Min Trace Length,-0.5576156156060575,-0.04771045400343429,0.0,-0.3295489884381308,-0.506656107299975,-0.0436599727912177
Event Density,0.4088185423555438,-0.15919448280376214,0.0,0.06741327052706277,0.3689465977662006,-0.21627077550441973
Absolute Trace Coverage,-0.26920753005275533,0.47737601935867957,0.0,-0.04120057544434892,-0.2829099714692787,-0.0566701704923812
Relative Trace Coverage,-0.7359766813409975,-0.2079564557812039,0.0,-0.7226097563893599,-0.7008148474974145,-0.553058690889769
Structure,-0.1509109190187276,-0.4432658901268464,0.0,-0.3029328511935887,-0.10800005986954361,-0.22511550428820723
Level of Detail,-0.7688641800758279,-0.05287726450798983,0.0,-0.6602017917627729,-0.6903918421327121,-0.5355343387203009
Traces with Self-loops,0.1765355270666485,0.11562267683845377,0.0,0.3207039547500318,0.18862870718173763,0.38713414881111324
Total Self-loops,0.09947864517368056,0.18848916781935007,0.0,0.3770923342722529,0.09095753544991515,0.5875553019249751
Average Self-loop Size,-0.2944500071554888,0.2710586211186571,0.0,-0.0769348485386589,-0.3402113390030979,0.08076276940651014
Event Diversity,-0.1215213602187951,0.02509313289426425,0.0,-0.08931486277648215,-0.12944974192377726,-0.04827218973850908
Event Repeatability,0.05905984382125067,-0.01946951294653406,0.0,0.022784354900200927,0.05289408006109635,-0.0042672850061510025
Transition Consistency,0.11986560142178734,-0.031689071840004544,0.0,0.08800670310247462,0.1286361405371895,0.0509858920568144
Sequential Complexity,-0.7729634236094295,0.18533855880367567,0.0,-0.49243754721134847,-0.7694031025418361,-0.2268564345097347
Rare Sequence Impact,-0.5390170335973309,0.005592282775557828,0.0,-0.33999904669498443,-0.4739087730792765,-0.14589330735896058
Event Class Dispersion,0.11173761680204808,-0.0217678155650909,0.0,0.08688212934769907,0.1214337414928238,0.05091925163481569
Event Co-occurrence Consistency,-0.03923889832909453,-0.6692556932414188,0.0,-0.28195827324219586,-0.034744386369078034,-0.1168040876197827
Trace Variability,-0.7000826671602616,0.08963281962079592,0.0,-0.4099770269251384,-0.6275471107634388,-0.16092185263884531
