,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,-0.6003468777473366,0.35540246064708325,0.0,-0.37774574714906317,-0.4994041773610167,-0.38727948345261115
ATS,-0.5917559184286025,0.34344184075528333,0.0,-0.38246818248662456,-0.4887841611369823,-0.4073287623338649
Number of Traces,0.0,0.0,0.0,0.0,0.0,0.0
Distinct Events,-0.703562057074369,-0.13584727874416566,0.0,-0.5987353892955599,-0.6055238810650525,-0.5223601395394311
Distinct Traces,-0.7762528014159402,0.04636452678765233,0.0,-0.8179853464401164,-0.8524895130393768,-0.7946633082055975
Distinct Start Events,0.003363794700780052,-0.23243170095901503,0.0,-0.0651954584485093,-0.040164704044183284,0.01622834268188113
Distinct End Events,-0.542045888930488,-0.2781589729487609,0.0,-0.5081712296151298,-0.5284349305961854,-0.34173078392574363
Average Trace Length,-0.6003468777473369,0.355402460647083,0.0,-0.37774574714906267,-0.49940417736101556,-0.38727948345261126
Max Trace Length,-0.6201782033649348,0.21908497927342957,0.0,-0.41718782317923314,-0.5261158912401863,-0.37626259420983194
Min Trace Length,-0.22568942342945383,0.41512220587723025,0.0,-0.0321306190565507,-0.15517586608197256,-0.069030362304934
Event Density,0.6070372602032917,-0.22943492941202237,0.0,0.4136868441059656,0.5673297193664734,0.31584761070283596
Absolute Trace Coverage,-0.7778895451304277,0.07439510290335159,0.0,-0.7811924359909209,-0.8375412173948392,-0.7415009186345145
Relative Trace Coverage,-0.777889545130427,0.07439510290335198,0.0,-0.7811924359909208,-0.8375412173948409,-0.7415009186345143
Structure,-0.0071900064319384525,-0.17171235354924116,0.0,-0.026566275333932618,0.06941697406560461,-0.07397303182117708
Level of Detail,-0.5917559184286025,0.34344184075528333,0.0,-0.38246818248662456,-0.4887841611369823,-0.4073287623338649
Traces with Self-loops,-0.5527670342104757,0.32519678119707035,0.0,-0.41831329559711883,-0.5386808972041791,-0.4145958381081953
Total Self-loops,-0.5374719359551583,0.3386878857907225,0.0,-0.3473215154187577,-0.4624668326190949,-0.35748439057276676
Average Self-loop Size,-0.500387213246104,0.027169551642208172,0.0,-0.5805124597907844,-0.5830403478067863,-0.5915822669340272
Event Diversity,-0.15439090851636927,-0.055203357691041254,0.0,-0.25166787154225806,-0.19660650557947112,-0.3009287459159263
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.0031347519401550565,0.02317275155179803,0.0,-0.005131409142740702,-0.006781981193874715,-0.01444205136067645
Sequential Complexity,-0.7043204092133134,0.26288666332785804,0.0,-0.556030888858958,-0.6891504934183449,-0.5036664806512183
Rare Sequence Impact,-0.46244276618621943,0.2586954206820021,0.0,-0.28605101612839645,-0.375995681220384,-0.29107914394159445
Event Class Dispersion,0.0,0.0,0.0,0.0,0.0,0.0
Event Co-occurrence Consistency,-0.5207508962873436,-0.297640518429192,0.0,-0.4826813064278933,-0.5108900042215799,-0.29541899598881166
Trace Variability,-0.5148868070195102,0.2519849316854709,0.0,-0.337893555708807,-0.4288803009108923,-0.3382054709941018
