,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.07382216528394031,0.21763980727855178,0.0,0.2015875640941529,0.08686116889770222,0.20944601239264263
ATS,-0.7857816782343298,-0.17207392402089014,0.0,-0.6837816499446916,-0.7275686323946069,-0.5100692535579123
Number of Traces,0.19141589963840694,0.08373263120833076,0.0,0.1792058537725634,0.20266886746380827,0.08609161431181914
Distinct Events,-0.7056680702879142,-0.2717687376031608,0.0,-0.7005003686623974,-0.6490184333553051,-0.5907337062906212
Distinct Traces,0.01695254559802904,0.32029198988225166,0.0,0.11831864272216329,0.00027229880296526175,0.04868503041953142
Distinct Start Events,-0.07892770800943495,0.17575762438545328,0.0,0.04923621059204706,-0.09257547133516637,0.12410282749320233
Distinct End Events,0.4846643133651795,0.09335263509391924,0.0,0.3015845900077823,0.4360580220889076,0.041586215120431126
Average Trace Length,-0.721893611274931,-0.06628661115866351,0.0,-0.5099854336951085,-0.669658681369703,-0.24110245199190727
Max Trace Length,-0.6485148073263792,0.08833727164762625,0.0,-0.44435928536944064,-0.5934784145696206,-0.3084208314857475
Min Trace Length,-0.3570885426836224,-0.24164199511226778,0.0,-0.3207057985914609,-0.3307554479934536,-0.13012785340637475
Event Density,0.41146685377771974,-0.0878999591306003,0.0,0.17684808446600542,0.38501072511667445,-0.05593733710594971
Absolute Trace Coverage,-0.12045541896524553,0.41742349302896364,0.0,0.054127450541107486,-0.14335337159378267,0.024219098172402687
Relative Trace Coverage,-0.7321161207180885,-0.28251435018220367,0.0,-0.7101542826544701,-0.7180610046087583,-0.5048087457654974
Structure,-0.23868453071059956,-0.471878465172179,0.0,-0.3824508215443651,-0.1951348777600537,-0.30695501508175127
Level of Detail,-0.7857816782343298,-0.17207392402089014,0.0,-0.6837816499446916,-0.7275686323946069,-0.5100692535579123
Traces with Self-loops,0.1640450917321997,0.119586540563336,0.0,0.2773318447784807,0.1768577696040646,0.34273192835002836
Total Self-loops,0.07514848208167654,0.166212785551787,0.0,0.264144291460665,0.06867798132008031,0.4331070560312913
Average Self-loop Size,-0.2159161142045833,0.1986123244896017,0.0,-0.0825218969121108,-0.24904282044977435,0.006463349509402182
Event Diversity,-0.4812561916475156,-0.38855203355947915,0.0,-0.3907090276959855,-0.4044567000964308,-0.08342460079815847
Event Repeatability,-0.4887036412347106,0.11696545598548184,0.0,-0.31952559855712265,-0.4487044538466554,-0.23076544926521442
Transition Consistency,-0.08060497658328887,0.23530607255717056,0.0,-0.14972908012771188,-0.11634253893608802,-0.3863852454417367
Sequential Complexity,-0.8724288139054512,-0.04735503537092475,0.0,-0.623597122168977,-0.8478429616659215,-0.27811974536799383
Rare Sequence Impact,-0.6235560057850577,-0.01915447609958996,0.0,-0.4407283999075081,-0.5649781917867924,-0.25814146832280516
Event Class Dispersion,-0.09074629367556795,0.44124935311749036,0.0,0.05317632717750475,-0.10223524750766715,-0.057262043349632495
Event Co-occurrence Consistency,0.009955463124160886,-0.6381597721898432,0.0,-0.21511574024422345,0.011363271916118174,-0.06278678623349856
Trace Variability,-0.5906855964175054,-0.031560154104690374,0.0,-0.3826169839504008,-0.5417902400777674,-0.13686813175004
