,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.2278470504933203,0.2638373274322791,0.0,0.5102430758511751,0.31909836054565827,0.5928875845040487
ATS,-0.7372389695337682,-0.14582912155677996,0.0,-0.577160531898252,-0.6283800876384976,-0.4553711179264405
Number of Traces,0.34991816569471906,0.12632494391431942,0.0,0.5005801968891126,0.43848078253947126,0.5210851954348259
Distinct Events,-0.6399843916258626,-0.29406827897691884,0.0,-0.6118560902715241,-0.5470528066291097,-0.5312275667496142
Distinct Traces,-0.4316948709905347,0.46169939707359164,0.0,-0.13595440708068307,-0.4077035755095819,-0.12876928852246275
Distinct Start Events,-0.16592736226295837,0.1078959624426734,0.0,-0.07384968953494014,-0.1460222122254567,-0.06450164055868775
Distinct End Events,0.35257672748666474,-0.06884437782306488,0.0,0.07757985475802824,0.27175961545552146,-0.10177207076789874
Average Trace Length,-0.672981208489375,0.002420524127315777,0.0,-0.39637450584651823,-0.5706872654186592,-0.21609125788620182
Max Trace Length,-0.6800542306505156,0.10952591511801178,0.0,-0.3978239203889432,-0.5697643948332614,-0.29141839497194677
Min Trace Length,-0.27102751225405125,-0.04294652924707084,0.0,-0.12696147594825313,-0.23839758961612456,0.025546173649840964
Event Density,0.49323866380665576,-0.13019090420359244,0.0,0.17398581039128286,0.4228412280244207,-0.023476834387121594
Absolute Trace Coverage,-0.44082812868187266,0.4345210503505572,0.0,-0.1461990130041595,-0.41067865552626637,-0.1302322541470125
Relative Trace Coverage,-0.6820571872479217,-0.26920594114360347,0.0,-0.6018920129145838,-0.6080729993774056,-0.45314362649184536
Structure,0.14520881534249175,-0.49401266940170385,0.0,-0.09350391723626972,0.16135326159101557,-0.07338444946279338
Level of Detail,-0.7372389695337682,-0.14582912155677996,0.0,-0.577160531898252,-0.6283800876384976,-0.4553711179264405
Traces with Self-loops,0.16572856439355294,0.12722814148298975,0.0,0.2801386487163301,0.16324484514152104,0.35133268578412086
Total Self-loops,0.11691208811892136,0.18116638336266955,0.0,0.30704920281269027,0.10312655640144802,0.44711776592599123
Average Self-loop Size,-0.49753671564271035,0.07298689281239318,0.0,-0.299814157013721,-0.4902908747823772,-0.14124112370602326
Event Diversity,-0.2447161879844187,-0.06375432058160546,0.0,-0.3615301337791182,-0.3212069899797593,-0.38919591839056544
Event Repeatability,0.0,0.0,0.0,0.0,0.0,0.0
Transition Consistency,0.2101284461085333,0.05320032782843487,0.0,0.30491656336846235,0.27284103264479315,0.32634078001690836
Sequential Complexity,-0.7797324470525995,0.00867761537941923,0.0,-0.5107165706701063,-0.731268246062857,-0.2868969462692861
Rare Sequence Impact,-0.5779655606966791,0.0690563271900018,0.0,-0.33327049210704773,-0.47543927575678935,-0.23130318584630433
Event Class Dispersion,0.18688872000252846,0.04862838889239326,0.0,0.27528545419093314,0.24484087322413522,0.29598968225827404
Event Co-occurrence Consistency,0.003326206814160946,-0.6440336766192145,0.0,-0.23358241177745076,0.0016742512293087593,-0.09945458891743439
Trace Variability,-0.6042096188981106,0.10452611441528417,0.0,-0.316771202908997,-0.5110355027744741,-0.1756605894503266
