,fscore,generalization,log_fitness,metricsAverageWeight,precision,simplicity
Number of Events,0.16133696560329308,0.2536251601401308,0.0,0.4323113301244158,0.2366860287826912,0.5067789463656549
ATS,-0.7682944353805706,-0.08854026198865163,0.0,-0.6389314664617768,-0.6896051376228857,-0.483357237609412
Number of Traces,0.30165637318721994,0.1129008925551687,0.0,0.4342146617791115,0.3817459127881683,0.4108463134626693
Distinct Events,-0.6336822867907408,-0.22680439688275136,0.0,-0.6188867924368648,-0.5479440186475583,-0.5339414740659887
Distinct Traces,-0.14113053071028064,0.3861118171399009,0.0,-0.0012732293098615703,-0.16131500061596102,-0.05290796335553143
Distinct Start Events,0.023625471096203908,0.03853459553642884,0.0,0.054181086282400884,0.041008565727513296,0.043171391492421045
Distinct End Events,0.413713562101659,-0.1185114315094446,0.0,0.21146463758844536,0.4041125307913943,0.022222023594000575
Average Trace Length,-0.7110542227067165,-0.016063585383391407,0.0,-0.4682705258703624,-0.636092341884894,-0.20897090785164346
Max Trace Length,-0.6797094217751307,0.13121895965766361,0.0,-0.44864938353251504,-0.6043078976653238,-0.3104243775347672
Min Trace Length,-0.3610864962679871,-0.13358623996283253,0.0,-0.21909198838781885,-0.32975688504452483,0.03511889970064202
Event Density,0.4618279889231039,-0.10281562871091653,0.0,0.1836307138330973,0.41721235862501993,-0.07189356737707643
Absolute Trace Coverage,-0.3460879522127781,0.44724637102976444,0.0,-0.11885993893179754,-0.3595591022837238,-0.09829209885476345
Relative Trace Coverage,-0.7401284903737886,-0.25113896616398096,0.0,-0.701383558459518,-0.7018327676899397,-0.4981319338936451
Structure,-0.15747726515556987,-0.41524793154683204,0.0,-0.24842817862822078,-0.10047957198224748,-0.15043850773310757
Level of Detail,-0.7682944353805706,-0.08854026198865163,0.0,-0.6389314664617768,-0.6896051376228857,-0.483357237609412
Traces with Self-loops,0.15107018141108264,0.128630835760735,0.0,0.30033252496328083,0.16426793018779748,0.38575555876199785
Total Self-loops,0.06541950419987128,0.17266912152933162,0.0,0.3007504145840459,0.05727829230887866,0.5028129210653235
Average Self-loop Size,-0.3410269924109253,0.23331028197880632,0.0,-0.19813429719022005,-0.39328947629956407,-0.08671184651378715
Event Diversity,-0.19437115263348423,-0.04829897205662687,0.0,-0.2936782515879478,-0.26098316249187203,-0.2937795624829363
Event Repeatability,0.08974066996311532,0.03773359043826035,0.0,0.07272580637056532,0.08997607942778989,0.019775402343812674
Transition Consistency,0.17635269290163755,0.04259796286968113,0.0,0.2669405516298541,0.23480316135166926,0.2712750351862185
Sequential Complexity,-0.7945432888750895,0.09500304341715496,0.0,-0.553821473134249,-0.7886193359582128,-0.27744259655485776
Rare Sequence Impact,-0.6201020795500731,0.02174274331698152,0.0,-0.4176710857662857,-0.5403242515402771,-0.24893123344796908
Event Class Dispersion,0.1650521559784231,0.04050166919419672,0.0,0.25983461316056833,0.2241215707322373,0.2708218146720767
Event Co-occurrence Consistency,-0.006424127413575623,-0.6799811720119355,0.0,-0.24458166330133743,-0.007833144942188222,-0.08252779577346372
Trace Variability,-0.6500284205420361,0.06413534411936435,0.0,-0.39884511276993917,-0.5797813053228694,-0.18051420544828198
